query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Pontine Reticulum Caudal,"pontine reticular nucleus, caudal division",HOMBA:12493,0.718312,bm25+fuzzy,pontine reticular nucleus caudalis part,pontine reticulum caudalis,caudal,1.0,needs_review,(caudal) collateral sulcus (medial occipitotemporal sulcus),0.634535
Pontine Reticulum Oral,"pontine reticular nucleus, rostral division",HOMBA:12494,0.733036,bm25+fuzzy,pontine reticular nucleus oralis part,pontine reticulum oralis,oral,1.0,needs_review,rostral (oral) dorsal paramedian nucleus,0.651186
"Postcentral gyrus, lateral",postcentral gyrus,HOMBA:12132,0.753867,bm25+fuzzy,postcentral gyrus,"Postcentral gyrus, lateral",lateral,0.0,needs_review,lateral orbital gyrus,0.408862
"Postcentral gyrus, medial",postcentral gyrus,HOMBA:12132,0.753867,bm25+fuzzy,postcentral gyrus,"Postcentral gyrus, medial",medial,0.0,needs_review,medial orbital gyrus,0.410886
Posterior Commissural Nuclei,interstitial nucleus of posterior commissure (nucleus of posterior commissure),HOMBA:12194,0.788483,bm25+fuzzy,nuclei of posterior commissure,Posterior Commissural Nuclei,posterior,1.0,needs_review,posterior (caudal) cortical nucleus of amygdala,0.782298
Posterior Commissure,posterior commissure,HOMBA:10567,1.0,bm25+exact+fuzzy,Posterior Commissure,Posterior Commissure,posterior,1.0,high_confidence,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.974167
Posterior hypothalamic nucleus,posterior hypothalamic nucleus,HOMBA:10503,1.0,bm25+exact+fuzzy,Posterior hypothalamic nucleus,Posterior hypothalamic nucleus,posterior,1.0,high_confidence,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.39689
Posterior Interposed Cerebellar Nucleus,posterior lobe of cerebellar cortex,HOMBA:12844,0.664958,bm25+fuzzy,posterior lobe of cerebellar cortex,Posterior Interposed Cerebellar Nucleus,posterior,1.0,needs_review,"posterior lobe, vermis part",0.652709
Posterior Interstitial Nucleus,interstitial nucleus of posterior commissure (nucleus of posterior commissure),HOMBA:12194,0.820915,bm25+fuzzy,interstitial nuclei of posterior commissure,posterior interstitial nuclei,posterior,1.0,needs_review,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.692652
Posterior interstitial nucleus of the anterior commissure,interstitial nucleus of posterior commissure (nucleus of posterior commissure),HOMBA:12194,0.956666,bm25+fuzzy,interstitial nucleus of posterior commissure,Posterior interstitial nucleus of the anterior commissure,posterior,1.0,high_confidence,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.94138
Posterior pituitary,posterior lobe of pituitary body (neurohypophysis),HOMBA:AA30783,0.761556,bm25+fuzzy,posterior lobe of pituitary body,Posterior pituitary,posterior,1.0,needs_review,caudal (posterior) branch of anterior commissure,0.392505
Pre-supplementary motor area,medial division of area 6 (supplementary motor area),HOMBA:AA30012,0.736733,bm25+fuzzy,supplementary motor area,Pre-supplementary motor area,,1.0,needs_review,frontal motor cortex (posterior frontal cortex),0.430972
"Precentral gyrus, lateral",precentral gyrus,HOMBA:12114,0.751667,bm25+fuzzy,precentral gyrus,"Precentral gyrus, lateral",lateral,0.0,needs_review,lateral orbital gyrus,0.408862
"Precentral gyrus, medial/supplementary motor area",medial division of area 6 (supplementary motor area),HOMBA:AA30012,0.82727,bm25+fuzzy,supplementary motor area,"Precentral gyrus, medial/supplementary motor area",medial,1.0,needs_review,precentral gyrus,0.528942
Precommissural nucleus,precommissural nucleus,HOMBA:12287,1.0,bm25+exact+fuzzy,Precommissural nucleus,Precommissural nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.258872
Precuneiform Nucleus,cuneiform nucleus,HOMBA:12240,0.773333,bm25+fuzzy+hierarchy_parent,cuneiform nucleus,Precuneiform Nucleus,,1.0,needs_review,precuneiform area,0.670844
Prefornical Hypothalamus,hypothalamus,HOMBA:10467,0.6875,bm25+fuzzy+hierarchy_parent,hypothalamus,Prefornical Hypothalamus,,1.0,needs_review,regions of hypothalamus,0.603011
Prelunate gyrus,prelunate gyrus,HOMBA:AA30555,1.0,bm25+exact+fuzzy,Prelunate gyrus,Prelunate gyrus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
"Premotor cortex, dorsal","premotor cortex (area 6, area FB, secondary motor cortex)",HOMBA:10168,0.753867,bm25+fuzzy,premotor cortex,"Premotor cortex, dorsal",dorsal,0.0,needs_review,caudal (dorsal) parasubiculum (subdivision b only),0.598966
"Premotor cortex, ventral","premotor cortex (area 6, area FB, secondary motor cortex)",HOMBA:10168,0.742101,bm25+fuzzy,premotor cortex,"Premotor cortex, ventral",ventral,0.0,needs_review,anterior (ventral /principal) pretectal nucleus,0.621567
Preoptic area,preoptic region of HTH,HOMBA:10468,0.815,bm25+fuzzy+hierarchy_parent,preoptic region of HTH,preoptic region,,1.0,needs_review,medial preoptic area,0.7009
Prepositus Nucleus,prepositus hypoglossal nucleus,HOMBA:12615,0.698698,bm25+fuzzy,prepositus hypoglossal nuclei,prepositus nuclei,,1.0,needs_review,cerebellar deep nuclei,0.258872
Prerubral Field,prerubral field (field H3),HOMBA:AA30325,1.0,bm25+exact+fuzzy,Prerubral Field,Prerubral Field,,1.0,high_confidence,prerubral regions,0.320589
Principal Trigeminal Nucleus,principal sensory nucleus of trigeminal nerve,HOMBA:12444,1.0,bm25+exact+fuzzy,Principal Trigeminal Nucleus,Principal Trigeminal Nucleus,principal,1.0,high_confidence,spinal trigeminal nucleus,0.949008
Putamen,putamen (lateroventral division of the CP),HOMBA:10338,1.0,bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,,1.0,high_confidence,caudal putamen,0.7009
Pyramidal Tract,pyramidal tract,HOMBA:12773,1.0,bm25+exact+fuzzy,Pyramidal Tract,Pyramidal Tract,,1.0,high_confidence,pyramidal part of medulla oblongata,0.257381
Pyramidal Tract Decussation,pyramidal decussation,HOMBA:12772,0.895247,bm25+fuzzy,pyramidal decussation,Pyramidal Tract Decussation,decussation,1.0,needs_review,decussation of rubrospinal tract,0.437807
Raphe Magnus Nucleus,raphe magnus nucleus,HOMBA:12642,1.0,bm25+exact+fuzzy,Raphe Magnus Nucleus,Raphe Magnus Nucleus,,1.0,high_confidence,raphe nuclei in medulla oblongata,0.97
Raphe Obscurus Nucleus,raphe obscurus nucleus,HOMBA:12643,1.0,bm25+exact+fuzzy,Raphe Obscurus Nucleus,Raphe Obscurus Nucleus,,1.0,high_confidence,raphe nuclei in medulla oblongata,0.97
Red nucleus,red nucleus,HOMBA:12247,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,,1.0,high_confidence,"red nucleus, dorsomedial division",0.65229
Reticular thalamic nucleus,reticular nucleus of thalamus,HOMBA:10464,0.74003,bm25+fuzzy,reticular nucleus of thalamus,Reticular thalamic nucleus,reticular,1.0,needs_review,dorsal reticular nucleus,0.718143
Reticular Thalamus,reticular nucleus of thalamus,HOMBA:10464,0.832891,bm25+fuzzy,reticular nuclei of thalamus,Reticular Thalamus,reticular,1.0,needs_review,caudoventrolateral reticular nucleus,0.322151
Reticulotegmentum,reticulotegmental nucleus,HOMBA:12497,0.388178,fuzzy,reticulotegmental nuclei,Reticulotegmentum,,1.0,low_confidence,pontine tegmentum,0.367267
Retro-mammillary nucleus,mammillary nuclear complex,HOMBA:10498,0.856667,bm25+fuzzy+hierarchy_parent,mammillary nucleus,Retro-mammillary nucleus,,1.0,needs_review,mammillary (posterior) region of HTH,0.805533
Retroisthmic Nucleus,retrorubral field (retroisthmic nucleus),HOMBA:12289,1.0,bm25+exact+fuzzy,Retroisthmic Nucleus,Retroisthmic Nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.258872
Retromammillary Hypothalamus,hypothalamus,HOMBA:10467,0.664131,bm25+fuzzy+hierarchy_parent,hypothalamus,Retromammillary Hypothalamus,,1.0,needs_review,retromammillary area,0.657054
Retrorubral Field,retrorubral field (retroisthmic nucleus),HOMBA:12289,1.0,bm25+exact+fuzzy,Retrorubral Field,Retrorubral Field,,1.0,high_confidence,prerubral field (field H3),0.267079
Reuniens-rhomboid-xiphoid Thalamus,ventral midline nuclei of thalamus,HOMBA:AA30276,0.571047,hierarchy_parent,ventral midline nuclei of thalamus,Reuniens-rhomboid-xiphoid Thalamus,,1.0,low_confidence,rhomboid (central) nucleus of thalamus,0.491047
Saginum Nucleus,sagulum nucleus (nucleus sagulum),HOMBA:12313,0.610833,bm25+fuzzy,sagulum nucleus,Saginum Nucleus,,1.0,needs_review,lateral reticular nuclei of pons,0.568213
Sensory Root of the Trigeminal Nerve,root of trigeminal nerve,HOMBA:12865,0.97,bm25+hierarchy_parent,root of trigeminal nerve,Sensory Root of the Trigeminal Nerve,,1.0,high_confidence,sensory root of trigeminal nerve,0.961054
Septimbrial nucleus,septofimbrial nucleus,HOMBA:13032,0.672904,fuzzy,septofimbrial nucleus,Septimbrial nucleus,,1.0,needs_review,septal region (septal nuclear complex),0.598302
