query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Parietal area PF,"rostral division of IPC (IPCr, area 40, area PF)",HOMBA:10226,0.661309,bm25+fuzzy,area PF,Parietal area PF,,1.0,needs_review,parietal lobe,0.580816
Parietal area PFm,parietal lobe,HOMBA:12131,0.584132,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PFm,,1.0,low_confidence,parietal operculum,0.504132
Parietal area PFcm,parietal lobe,HOMBA:12131,0.58731,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PFcm,,1.0,low_confidence,parietal operculum,0.50731
Parietal area PFop,parietal lobe,HOMBA:12131,0.585921,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PFop,,1.0,low_confidence,parietal operculum,0.505921
Parietal area PGi,parietal lobe,HOMBA:12131,0.574132,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PGi,,1.0,low_confidence,parietal operculum,0.494132
Parietal area PGs,parietal lobe,HOMBA:12131,0.574132,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PGs,,1.0,low_confidence,parietal operculum,0.494132
Parietal area PGp,parietal lobe,HOMBA:12131,0.574132,bm25+fuzzy+hierarchy_parent,parietal lobe,Parietal area PGp,,1.0,low_confidence,parietal operculum,0.494132
Temporal area STGg,temporal lobe,HOMBA:12139,0.51222,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area STGg,,1.0,low_confidence,temporal claustrum,0.500305
Temporal area PSL,temporal lobe,HOMBA:12139,0.519835,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area PSL,,1.0,low_confidence,temporal claustrum,0.489202
Temporal area STSdp,temporal lobe,HOMBA:12139,0.505151,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area STSdp,,1.0,low_confidence,temporal claustrum,0.493505
Temporal area STSda,temporal lobe,HOMBA:12139,0.505151,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area STSda,,1.0,low_confidence,temporal claustrum,0.493505
Temporal area STSva,temporal lobe,HOMBA:12139,0.505151,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area STSva,,1.0,low_confidence,temporal claustrum,0.493505
Temporal area STSvp,temporal lobe,HOMBA:12139,0.505151,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area STSvp,,1.0,low_confidence,temporal claustrum,0.493505
Temporal area TF,lateral division of PHC (area TF),HOMBA:10260,0.568725,bm25+fuzzy,area TF,Temporal area TF,,1.0,low_confidence,temporal lobe,0.528061
Temporal area TGd,temporal lobe,HOMBA:12139,0.519835,bm25+fuzzy+hierarchy_parent,temporal lobe,Temporal area TGd,,1.0,low_confidence,temporal claustrum,0.489202
Entorhinal cortex,entorhinal cortex,HOMBA:10317,1.0,bm25+exact+fuzzy+hierarchy_parent,Entorhinal cortex,Entorhinal cortex,,1.0,high_confidence,lamination of entorhinal cortex,0.765457
Presubiculum,presubiculum (presubicular cortex),HOMBA:10315,1.0,bm25+exact+fuzzy+hierarchy_parent,Presubiculum,Presubiculum,,1.0,high_confidence,caudal (dorsal) presubiculum (postsubiculum),0.676118
Parahippocampal area PeEc,parahippocampal gyrus,HOMBA:12162,0.497176,bm25+fuzzy+hierarchy_parent,parahippocampal gyrus,Parahippocampal area PeEc,,1.0,low_confidence,cingulate-parahippocampal isthmus,0.482369
Hippocampal formation,hippocampal formation,HOMBA:12170,1.0,bm25+exact+fuzzy,Hippocampal formation,Hippocampal formation,,1.0,high_confidence,hippocampal commissure,0.27792
Paracentral area 5L,"paracentral lobule, rostral part",HOMBA:12126,0.473153,bm25+fuzzy,"paracentral lobule, rostral part",Paracentral area 5L,,1.0,low_confidence,"rostral division of SPC (area 5, area PE)",0.424342
Paracentral area 5mv,"paracentral lobule, rostral part",HOMBA:12126,0.468231,bm25+fuzzy,"paracentral lobule, rostral part",Paracentral area 5mv,,1.0,low_confidence,paracentral nucleus of thalamus,0.413988
Paracentral area 5m,"paracentral lobule, rostral part",HOMBA:12126,0.473153,bm25+fuzzy,"paracentral lobule, rostral part",Paracentral area 5m,,1.0,low_confidence,"rostral division of SPC (area 5, area PE)",0.424342
Cingulate area 24dd,cingulate subdivision of area 5,HOMBA:10217,0.488343,bm25+fuzzy,cingulate subdivision of area 5,Cingulate area 24dd,,1.0,low_confidence,cingulate cortex,0.44092
Cingulate area 24dv,cingulate subdivision of area 5,HOMBA:10217,0.488343,bm25+fuzzy,cingulate subdivision of area 5,Cingulate area 24dv,,1.0,low_confidence,cingulate cortex,0.44092
Area 43,caudal division of subcentral cortex (area 43),HOMBA:AA30017,1.0,bm25+exact+fuzzy,Area 43,Area 43,,1.0,high_confidence,rostral division of subcentral cortex (area 43),1.0
Opercular area OP1,opercular subdivision of area 44,HOMBA:266441161,0.520787,bm25+fuzzy,opercular subdivision of area 44,Opercular area OP1,,1.0,low_confidence,subincertal nucleus (area),0.304583
Opercular area OP2-3,opercular subdivision of area 44,HOMBA:266441161,0.489048,bm25+fuzzy,opercular subdivision of area 44,Opercular area OP2-3,,1.0,low_confidence,subincertal nucleus (area),0.29025
Opercular area OP4,opercular subdivision of area 44,HOMBA:266441161,0.527787,bm25+fuzzy,opercular subdivision of area 44,Opercular area OP4,,1.0,low_confidence,subincertal nucleus (area),0.304583
Area 52,parainsular cortex (area 52),HOMBA:10267,1.0,bm25+exact+fuzzy,Area 52,Area 52,,1.0,high_confidence,,
