dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Cingulate area 23c,low_confidence,0.493369,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 23c,cingulate subdivision of area 5,,1.0,cingulate cortex,0.447868,D_homba_gap,HOMBA lacks this granularity
corpus,Cingulate area 23d,low_confidence,0.493369,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 23d,cingulate subdivision of area 5,,1.0,cingulate cortex,0.447868,D_homba_gap,HOMBA lacks this granularity
corpus,Cingulate area 31a,low_confidence,0.493369,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 31a,cingulate subdivision of area 5,,1.0,cingulate cortex,0.447868,D_homba_gap,HOMBA lacks this granularity
corpus,Cingulate area a24,low_confidence,0.493369,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area a24,cingulate subdivision of area 5,,1.0,cingulate cortex,0.447868,D_homba_gap,HOMBA lacks this granularity
corpus,Cingulate area p24,low_confidence,0.493369,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area p24,cingulate subdivision of area 5,,1.0,cingulate cortex,0.447868,D_homba_gap,HOMBA lacks this granularity
corpus,Premotor area 6a,low_confidence,0.498215,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,Premotor area 6a,premotor cortex,,1.0,area 55b of premotor cortex,0.404119,D_homba_gap,HOMBA lacks this granularity
corpus,Premotor area 6d,low_confidence,0.498215,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,Premotor area 6d,premotor cortex,,1.0,area 55b of premotor cortex,0.404119,D_homba_gap,HOMBA lacks this granularity
corpus,Premotor area 6m,low_confidence,0.498215,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,Premotor area 6m,premotor cortex,,1.0,area 55b of premotor cortex,0.404119,D_homba_gap,HOMBA lacks this granularity
corpus,Premotor area 6r,low_confidence,0.498215,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,Premotor area 6r,premotor cortex,,1.0,area 55b of premotor cortex,0.404119,D_homba_gap,HOMBA lacks this granularity
corpus,Premotor area 6v,low_confidence,0.498215,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,Premotor area 6v,premotor cortex,,1.0,area 55b of premotor cortex,0.404119,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area STSda,low_confidence,0.505197,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area STSda,temporal lobe,,1.0,temporal claustrum,0.493558,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area STSdp,low_confidence,0.505197,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area STSdp,temporal lobe,,1.0,temporal claustrum,0.493558,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area STSva,low_confidence,0.505197,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area STSva,temporal lobe,,1.0,temporal claustrum,0.493558,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area STSvp,low_confidence,0.505197,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area STSvp,temporal lobe,,1.0,temporal claustrum,0.493558,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area STGg,low_confidence,0.512266,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area STGg,temporal lobe,,1.0,temporal claustrum,0.500359,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TE1a,low_confidence,0.514775,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area TE1a,temporal lobe,,1.0,temporal claustrum,0.484723,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TE1m,low_confidence,0.514775,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area TE1m,temporal lobe,,1.0,temporal claustrum,0.494445,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TE1p,low_confidence,0.514775,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area TE1p,temporal lobe,,1.0,temporal claustrum,0.484723,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TE2a,low_confidence,0.514775,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area TE2a,temporal lobe,,1.0,temporal claustrum,0.484723,D_homba_gap,HOMBA lacks this granularity
