query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Paraventricular hypothalamic nucleus (medial parvicellular dorsal zone),dorsal division of VMHco,HOMBA:10489,0.640384,bm25+fuzzy,dorsal part of ventromedial hypothalamic nuclei,paraventricular hypothalamic nuclei medial parvicellular dorsal zone,medial;parvicellular;dorsal;zone;medial parvicellular dorsal zone,0.4,modifier_conflict,ventromedial hypothalamic nucleus,0.617655
Paraventricular thalamic nuclei (anterior and posterior),paraventricular nucleus of thalamus,HOMBA:10457,0.88,bm25+exact+fuzzy,paraventricular thalamic nucleus,paraventricular thalamic nucleus,anterior;posterior;anterior and posterior,0.0,needs_review,caudal paraventricular nucleus of thalamus,0.680533
"Parietal association cortex, lateral area",inferior lateral parietal cortex,HOMBA:10225,0.717878,bm25+fuzzy,inferior lateral parietal cortex,"Parietal association cortex, lateral area",lateral,1.0,needs_review,"lateral orbital frontal cortex (OFCl, area 12/47)",0.600566
"Parietal association cortex, medial area",superior medial parietal cortex,HOMBA:10215,0.716213,bm25+fuzzy,superior medial parietal cortex,"Parietal association cortex, medial area",medial,1.0,needs_review,medial orbital frontal cortex (area 14),0.602314
"Parietal association cortex, posterior area",posterior parietal cortex,HOMBA:10214,0.787533,bm25+fuzzy,posterior parietal cortex,"Parietal association cortex, posterior area",posterior,1.0,needs_review,posterior limiting parietal cortex,0.711206
Peripeduncular nucleus,peripeduncular nucleus,HOMBA:12285,1.0,bm25+exact+fuzzy,Peripeduncular nucleus,Peripeduncular nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.260408
Perirhinal area 35,perirhinal cortex (area 35),HOMBA:10320,0.643508,bm25+fuzzy+hierarchy_parent,perirhinal cortex (area 35),Perirhinal area 35,,1.0,needs_review,perirhinal cortical region,0.271639
Perirhinal area 36,perirhinal cortical region,HOMBA:AA30025,0.623853,bm25+fuzzy+hierarchy_parent,perirhinal cortical region,Perirhinal area 36,,1.0,needs_review,ectorhinal cortex (area 36),0.543853
Periventricular gray,periventricular gray of pons,HOMBA:AA30845,0.856667,bm25+fuzzy,periventricular gray of pons,Periventricular gray,,1.0,needs_review,gray matter of brain,0.30162
"Piriform cortex, layer 1",piriform cortex,HOMBA:10311,0.705435,bm25+fuzzy,piriform cortex,"Piriform cortex, layer 1",layer,0.0,needs_review,layer 1 (molecular layer) of ERC,0.40808
"Piriform cortex, layer 2",piriform cortex,HOMBA:10311,0.705435,bm25+fuzzy,piriform cortex,"Piriform cortex, layer 2",layer,0.0,needs_review,layer 2 (outer granular cell layer) of NCx,0.40808
"Piriform cortex, layer 3",piriform cortex,HOMBA:10311,0.705435,bm25+fuzzy,piriform cortex,"Piriform cortex, layer 3",layer,0.0,needs_review,unique layer 3 of primary visual cortex (primates),0.426699
Pontine nuclei,pontine nucleus,HOMBA:12406,1.0,bm25+exact+fuzzy+hierarchy_parent,Pontine nuclei,Pontine nuclei,,1.0,high_confidence,pontine gamma nucleus,0.631263
Posterior commissure,posterior commissure,HOMBA:10567,1.0,bm25+exact+fuzzy,Posterior commissure,Posterior commissure,posterior,1.0,high_confidence,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.974167
Posterior intralaminar nucleus,caudal intralaminar nuclei of thalamus,HOMBA:10448,0.934768,bm25+fuzzy,posterior group of intralaminar nucleus,Posterior intralaminar nucleus,posterior,1.0,high_confidence,posterior marginal (intralaminar) nucleus of thalamus (PIL),0.788872
Posterior thalamic nuclear group (triangular part),posterior nucleus of thalamus,HOMBA:10440,0.633617,bm25+fuzzy,posterior thalamic nucleus,Posterior thalamic nuclear group (triangular part),triangular;posterior,0.5,modifier_conflict,lateral posterior nucleus of thalamus,0.588519
"Posterior thalamic nuclear group, triangular part",posterior nucleus of thalamus,HOMBA:10440,0.693617,bm25+fuzzy,posterior thalamic nucleus,"Posterior thalamic nuclear group, triangular part",posterior,1.0,needs_review,lateral posterior nucleus of thalamus,0.648519
Posterior thalamic nucleus,posterior nucleus of thalamus,HOMBA:10440,1.0,bm25+exact+fuzzy,Posterior thalamic nucleus,Posterior thalamic nucleus,posterior,1.0,high_confidence,lateral posterior nucleus of thalamus,0.9975
Postrhinal cortex,posterior parahippocampal region (postrhinal cortex),HOMBA:10263,1.0,bm25+exact+fuzzy,Postrhinal cortex,Postrhinal cortex,,1.0,high_confidence,dorsolateral temporal cortex,0.278668
Pregeniculate nucleus,pregeniculate nucleus (ventral lateral geniculate nucleus),HOMBA:13042,1.0,bm25+exact+fuzzy+hierarchy_parent,Pregeniculate nucleus,Pregeniculate nucleus,,1.0,high_confidence,oval body of pregeniculate nucleus,0.775735
Prelimbic area,"pregenual cingulate  cortex (area 32, prelimbic cortex)",HOMBA:10280,0.542259,bm25+fuzzy,prelimbic cortex,Prelimbic area,,1.0,low_confidence,,
Presubiculum,presubiculum (presubicular cortex),HOMBA:10315,1.0,bm25+exact+fuzzy+hierarchy_parent,Presubiculum,Presubiculum,,1.0,high_confidence,caudal (dorsal) presubiculum (postsubiculum),0.676118
Pretectal region,pretectal region,HOMBA:12181,1.0,bm25+exact+fuzzy,Pretectal region,Pretectal region,,1.0,high_confidence,pretectal nuclear complex,0.499401
Pretectothalamic lamina,dentatothalamic tract,HOMBA:12357,0.290576,fuzzy,dentatothalamic tract,Pretectothalamic lamina,,1.0,low_confidence,lamina III and IV of lumbar spinal cord,0.246576
Primary auditory area,"primary auditory cortex (first auditory cortex, auditory core region)",HOMBA:10236,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary auditory area,Primary auditory area,,1.0,high_confidence,"secondary auditory cortex (auditory belt region, area 42, area TB)",0.7009
Primary motor area,"primary motor cortex (first motor cortex, area 4, area FA)",HOMBA:10163,1.0,bm25+exact+fuzzy,Primary motor area,Primary motor area,,1.0,high_confidence,frontal motor cortex (posterior frontal cortex),0.8342
"Primary somatosensory area, barrel field",barrel field of S1fm (rodents),HOMBA:AA30880,0.314178,bm25,barrel field of S1fm,"Primary somatosensory area, barrel field",,1.0,low_confidence,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",0.287934
"Primary somatosensory area, dysgranular zone","primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",HOMBA:10209,0.670083,bm25+fuzzy+hierarchy_parent,primary somatosensory cortex,primary somatosensory cortex dysgranular zone,,1.0,needs_review,area 1 of primary somatosensory cortex,0.532337
"Primary somatosensory area, face representation","primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",HOMBA:10209,0.645,bm25+fuzzy+hierarchy_parent,primary somatosensory cortex,primary somatosensory cortex face representation,,1.0,needs_review,area 1 of primary somatosensory cortex,0.530681
