structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Inferior frontal gyrus (pars opercularis),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (pars orbitalis),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (pars triangularis),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
Frontal medial cortex,corpus,1.0000,high_confidence,HOMBA:10161,frontal cortex,bm25+exact+fuzzy
Frontal opercular cortex,corpus,0.6686,needs_review,HOMBA:10190,"frontal polar cortex (FP, area 10)",bm25+fuzzy
Frontal orbital cortex (anterior),corpus,1.0000,high_confidence,HOMBA:10198,"intermediate orbital frontal cortex (OFCi, area 11/13)",bm25+fuzzy
Frontal orbital cortex (lateral),corpus,0.9936,high_confidence,HOMBA:10205,"lateral orbital frontal cortex (OFCl, area 12/47)",bm25+fuzzy
Frontal orbital cortex (medial),corpus,1.0000,high_confidence,HOMBA:10194,orbital frontal cortex,bm25+fuzzy
Frontal orbital cortex (posterior),corpus,1.0000,high_confidence,HOMBA:10194,orbital frontal cortex,bm25+fuzzy
Frontal pole (lateral),corpus,1.0000,high_confidence,HOMBA:146034888,frontal pole,bm25+exact+fuzzy
Frontal pole (medial),corpus,1.0000,high_confidence,HOMBA:146034888,frontal pole,bm25+exact+fuzzy
Heschl's gyrus,corpus,1.0000,high_confidence,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),bm25+exact+fuzzy
Insular cortex (anterior),corpus,1.0000,high_confidence,HOMBA:10288,major insular cortex,bm25+exact+fuzzy
Insular cortex (posterior),corpus,1.0000,high_confidence,HOMBA:10288,major insular cortex,bm25+exact+fuzzy
Occipital fusiform gyrus,corpus,1.0000,high_confidence,HOMBA:12153,inferior occipital gyrus,bm25+exact+fuzzy
Lateral occipital cortex (inferior),corpus,0.9346,modifier_conflict,HOMBA:AA30024,"lateral temporal-occipital cortex (area 37l, area TEO)",bm25+fuzzy
Lateral occipital cortex (superior),corpus,0.9346,modifier_conflict,HOMBA:AA30024,"lateral temporal-occipital cortex (area 37l, area TEO)",bm25+fuzzy
Occipital pole,corpus,1.0000,high_confidence,HOMBA:12149,occipital pole,bm25+exact+fuzzy
Paracingulate gyrus,corpus,1.0000,high_confidence,HOMBA:146034872,paracingulate gyrus,bm25+exact+fuzzy
Precuneal cortex,corpus,0.7733,needs_review,HOMBA:10159,cerebral cortex,bm25+fuzzy
Parahippocampal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12163,anterior parahippocampal gyrus,bm25+fuzzy
Parahippocampal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12164,posterior parahippocampal gyrus,bm25+fuzzy
Parietal opercular cortex,corpus,0.6434,needs_review,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent
Postcentral gyrus (lateral inferior),corpus,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy
Postcentral gyrus (lateral middle),corpus,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy
Postcentral gyrus (lateral superior),corpus,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy
Postcentral gyrus (medial),corpus,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy
Planum polare,corpus,1.0000,high_confidence,HOMBA:12147,planum polare,bm25+exact+fuzzy
Pre-supplementary motor area (inferior),corpus,0.7172,needs_review,HOMBA:AA30012,medial division of area 6 (supplementary motor area),bm25+fuzzy
Pre-supplementary motor area (superior),corpus,0.7172,needs_review,HOMBA:AA30012,medial division of area 6 (supplementary motor area),bm25+fuzzy
Precentral gyrus (lateral inferior),corpus,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy
Precentral gyrus (lateral middle),corpus,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy
Precentral gyrus (lateral superior),corpus,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy
Precentral gyrus (medial),corpus,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy
Subcallosal cortex,corpus,1.0000,high_confidence,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),bm25+exact+fuzzy
Supracalcarine cortex,corpus,1.0000,high_confidence,HOMBA:10208,parietal cortex,bm25+exact+fuzzy+hierarchy_parent
Supramarginal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12135,supramarginal gyrus,bm25+exact+fuzzy
Supramarginal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12135,supramarginal gyrus,bm25+exact+fuzzy
Superior parietal lobule (anterior),corpus,1.0000,high_confidence,HOMBA:12133,superior parietal lobule (gyrus),bm25+exact+fuzzy
Superior parietal lobule (posterior),corpus,1.0000,high_confidence,HOMBA:12133,superior parietal lobule (gyrus),bm25+exact+fuzzy
Superior temporal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12140,superior temporal gyrus,bm25+exact+fuzzy
Superior temporal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12140,superior temporal gyrus,bm25+exact+fuzzy
Middle temporal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy
Middle temporal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy
Inferior temporal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy
Inferior temporal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy
Temporal frontal cortex (anterior),corpus,1.0000,high_confidence,HOMBA:10161,frontal cortex,bm25+exact+fuzzy
Temporal frontal cortex (posterior),corpus,1.0000,high_confidence,HOMBA:10161,frontal cortex,bm25+exact+fuzzy
Middle temporal gyrus (temporo-occipital),corpus,1.0000,high_confidence,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy
Inferior temporal gyrus (temporo-occipital),corpus,1.0000,high_confidence,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy
Temporal occipital fusiform cortex,corpus,1.0000,high_confidence,HOMBA:10268,occipital cortex,bm25+exact+fuzzy+hierarchy_parent
Primary visual cortex,corpus,1.0000,high_confidence,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+exact+fuzzy+hierarchy_parent
Secondary visual cortex,corpus,1.0000,high_confidence,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",bm25+exact+fuzzy
Visual area V3,corpus,0.6825,needs_review,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+fuzzy
Visual area V3A,corpus,0.6603,needs_review,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+fuzzy
Visual area V3B,corpus,0.6603,needs_review,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+fuzzy
Visual area V4,corpus,1.0000,high_confidence,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+exact+fuzzy
Visual area V6,corpus,1.0000,high_confidence,HOMBA:267499151,"sixth visual area V6 , part A",bm25+exact+fuzzy
Visual area V6A,corpus,0.7809,needs_review,HOMBA:AA30020,sixth visual area,bm25+fuzzy+hierarchy_parent
Visual area V7,corpus,0.7150,needs_review,HOMBA:267499179,seventh visual area V7,bm25+fuzzy
Visual area V8,corpus,0.6825,needs_review,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+fuzzy
Middle temporal area,corpus,1.0000,high_confidence,HOMBA:267499039,"fifth visual area (middle temporal area, MT)",bm25+exact+fuzzy
Medial superior temporal area,corpus,1.0000,high_confidence,HOMBA:AA30021,medial superior temporal area,bm25+exact+fuzzy
Fundal superior temporal area,corpus,1.0000,high_confidence,HOMBA:AA30021,medial superior temporal area,bm25+exact+fuzzy
Area PH,corpus,1.0000,high_confidence,HOMBA:12807,area postrema,bm25+exact+fuzzy
V4 transitional area,corpus,1.0000,high_confidence,HOMBA:10379,amygdaloid transition areas,bm25+exact+fuzzy+hierarchy_parent
Primary motor cortex,corpus,1.0000,high_confidence,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",bm25+exact+fuzzy
Somatosensory area 3a,corpus,0.6834,needs_review,HOMBA:AA30495,somatosensory radiation,bm25+fuzzy
Somatosensory area 3b,corpus,0.6834,needs_review,HOMBA:AA30495,somatosensory radiation,bm25+fuzzy
Somatosensory area 1,corpus,1.0000,high_confidence,HOMBA:AA30495,somatosensory radiation,bm25+exact+fuzzy
Somatosensory area 2,corpus,1.0000,high_confidence,HOMBA:AA30495,somatosensory radiation,bm25+exact+fuzzy
Frontal eye field,corpus,0.6184,needs_review,HOMBA:AA30010,frontal eye field of premotor cortex,bm25+fuzzy
Premotor eye field,corpus,0.5539,low_confidence,HOMBA:AA30010,frontal eye field of premotor cortex,bm25+fuzzy
Area 55b,corpus,1.0000,high_confidence,HOMBA:AA30011,area 55b of premotor cortex,bm25+exact+fuzzy
Premotor area 6a,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Premotor area 6v,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Premotor area 6d,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Premotor area 6m,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Premotor area 6r,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Premotor area 6mp,corpus,1.0000,high_confidence,HOMBA:12241,precuneiform area,bm25+exact+fuzzy
Prefrontal area 8Av,corpus,1.0000,high_confidence,HOMBA:10176,lateroventral subdivision of area 8,bm25+exact+fuzzy
Prefrontal area 8Ad,corpus,1.0000,high_confidence,HOMBA:10175,laterodorsal subdivision of area 8,bm25+exact+fuzzy
Prefrontal area 8BL,corpus,1.0000,high_confidence,HOMBA:10175,laterodorsal subdivision of area 8,bm25+exact+fuzzy
Prefrontal area 8BM,corpus,1.0000,high_confidence,HOMBA:10177,medial subdivision of area 8,bm25+exact+fuzzy
Prefrontal area 8C,corpus,1.0000,high_confidence,HOMBA:10174,"caudal division of DFC (area 8, DFCc)",bm25+exact+fuzzy+hierarchy_parent
Prefrontal area 9-46v,corpus,1.0000,high_confidence,HOMBA:10183,ventral subdivision of A9/46,bm25+exact+fuzzy
Prefrontal area 9-46d,corpus,1.0000,high_confidence,HOMBA:10182,dorsal subdivision of A9/46,bm25+exact+fuzzy
Prefrontal area 46,corpus,1.0000,high_confidence,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",bm25+exact+fuzzy+hierarchy_parent
Prefrontal area 47s,corpus,1.0000,high_confidence,HOMBA:AA30002,rostral subdivision of area 12/47,bm25+exact+fuzzy
Prefrontal area 47m,corpus,1.0000,high_confidence,HOMBA:10206,medial part of area 12/47,bm25+exact+fuzzy
Prefrontal area 47l,corpus,1.0000,high_confidence,HOMBA:10207,lateral part of area 12/47,bm25+exact+fuzzy
Prefrontal area 47r,corpus,1.0000,high_confidence,HOMBA:AA30002,rostral subdivision of area 12/47,bm25+exact+fuzzy
Prefrontal area 9a,corpus,1.0000,high_confidence,HOMBA:10179,lateral subdivision of area 9,bm25+exact+fuzzy
Prefrontal area 9m,corpus,1.0000,high_confidence,HOMBA:10180,medial subdivision of area 9,bm25+exact+fuzzy
Prefrontal area 9p,corpus,1.0000,high_confidence,HOMBA:10180,medial subdivision of area 9,bm25+exact+fuzzy
Prefrontal area 10d,corpus,1.0000,high_confidence,HOMBA:10191,medial subdivision of area 10,bm25+exact+fuzzy
Prefrontal area 10r,corpus,1.0000,high_confidence,HOMBA:10192,lateral subdivision of area 10,bm25+exact+fuzzy
Prefrontal area 10pp,corpus,1.0000,high_confidence,HOMBA:10190,"frontal polar cortex (FP, area 10)",bm25+exact+fuzzy+hierarchy_parent
Frontal area SFL,corpus,0.5426,low_confidence,HOMBA:12113,frontal lobe,bm25+fuzzy+hierarchy_parent
Retrosplenial cortex,corpus,1.0000,high_confidence,HOMBA:10324,retrosplenial cortex,bm25+exact+fuzzy+hierarchy_parent
Posterior opercular area POS2,corpus,1.0000,high_confidence,HOMBA:266441161,opercular subdivision of area 44,bm25+exact+fuzzy
Lateral intraparietal area (ventral),corpus,1.0000,high_confidence,HOMBA:10207,lateral part of area 12/47,bm25+exact+fuzzy
Lateral intraparietal area (dorsal),corpus,1.0000,high_confidence,HOMBA:10207,lateral part of area 12/47,bm25+exact+fuzzy
Ventral intraparietal area,corpus,0.8871,needs_review,HOMBA:10207,lateral part of area 12/47,bm25+fuzzy
Anterior intraparietal area,corpus,1.0000,high_confidence,HOMBA:AA30890,anterior (ventral) spinal artery,bm25+exact+fuzzy
Primary auditory cortex,corpus,1.0000,high_confidence,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",bm25+exact+fuzzy+hierarchy_parent
Temporal area TE1a,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Temporal area TE1m,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Temporal area TE1p,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Temporal area TE2a,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area 23c,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area 23d,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area 31a,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area a24,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area p24,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Insular area FOP1,corpus,0.5011,low_confidence,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent
Insular area FOP2,corpus,0.5011,low_confidence,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent
Insular area FOP3,corpus,0.5011,low_confidence,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent
Insular area FOP4,corpus,0.5011,low_confidence,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent
Insular area FOP5,corpus,0.5011,low_confidence,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent
Retroinsular cortex,corpus,1.0000,high_confidence,HOMBA:13323,retroinsular cortex,bm25+exact+fuzzy
Posterior insular area,corpus,1.0000,high_confidence,HOMBA:10567,posterior commissure,bm25+exact+fuzzy
Anterior ventral insular area,corpus,0.7174,needs_review,HOMBA:AA30890,anterior (ventral) spinal artery,bm25+fuzzy
Medial insular area,corpus,1.0000,high_confidence,HOMBA:10288,major insular cortex,bm25+exact+fuzzy
Frontoinsular area,corpus,1.0000,high_confidence,HOMBA:10288,major insular cortex,bm25+exact+fuzzy+hierarchy_parent
Parietal area IP0,corpus,0.5719,low_confidence,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent
Parietal area IP1,corpus,0.5719,low_confidence,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent
Parietal area IP2,corpus,0.5719,low_confidence,HOMBA:12131,parietal lobe,bm25+fuzzy+hierarchy_parent
Parietal area PFt,corpus,0.6651,needs_review,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PF,corpus,1.0000,high_confidence,HOMBA:10208,parietal cortex,bm25+exact+fuzzy+hierarchy_parent
Parietal area PFm,corpus,0.6651,needs_review,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PFcm,corpus,0.6651,needs_review,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PFop,corpus,0.6651,needs_review,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PGi,corpus,0.5753,low_confidence,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PGs,corpus,0.5753,low_confidence,HOMBA:10208,parietal cortex,bm25+fuzzy
Parietal area PGp,corpus,0.5753,low_confidence,HOMBA:10208,parietal cortex,bm25+fuzzy
Temporal area STGg,corpus,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Temporal area PSL,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Temporal area STSdp,corpus,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Temporal area STSda,corpus,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Temporal area STSva,corpus,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Temporal area STSvp,corpus,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Temporal area TF,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Temporal area TGd,corpus,1.0000,high_confidence,HOMBA:10235,temporal cortex,bm25+exact+fuzzy+hierarchy_parent
Entorhinal cortex,corpus,1.0000,high_confidence,HOMBA:10317,entorhinal cortex,bm25+exact+fuzzy+hierarchy_parent
Presubiculum,corpus,1.0000,high_confidence,HOMBA:10315,presubiculum (presubicular cortex),bm25+exact+fuzzy+hierarchy_parent
Parahippocampal area PeEc,corpus,0.4999,low_confidence,HOMBA:12162,parahippocampal gyrus,bm25+fuzzy+hierarchy_parent
Hippocampal formation,corpus,1.0000,high_confidence,HOMBA:12170,hippocampal formation,bm25+exact+fuzzy
Paracentral area 5L,corpus,1.0000,high_confidence,HOMBA:10218,lateral subdivision of area 5,bm25+exact+fuzzy
Paracentral area 5mv,corpus,1.0000,high_confidence,HOMBA:10219,medial subdivision of area 5,bm25+exact+fuzzy
Paracentral area 5m,corpus,1.0000,high_confidence,HOMBA:10219,medial subdivision of area 5,bm25+exact+fuzzy
Cingulate area 24dd,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Cingulate area 24dv,corpus,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
Area 43,corpus,1.0000,high_confidence,HOMBA:AA30017,caudal division of subcentral cortex (area 43),bm25+exact+fuzzy
Opercular area OP1,corpus,0.5470,low_confidence,HOMBA:AA30159,molecular layer of DG,bm25+fuzzy
Opercular area OP2-3,corpus,1.0000,high_confidence,HOMBA:AA30159,molecular layer of DG,bm25+exact+fuzzy
Opercular area OP4,corpus,0.5470,low_confidence,HOMBA:AA30159,molecular layer of DG,bm25+fuzzy
Area 52,corpus,1.0000,high_confidence,HOMBA:10267,parainsular cortex (area 52),bm25+exact+fuzzy
Abducens Motor Nucleus,species,1.0000,high_confidence,HOMBA:12418,abducens nucleus,bm25+exact+fuzzy
Accumbens,species,0.6316,needs_review,HOMBA:10339,nucleus accumbens,bm25+fuzzy+hierarchy_parent
Accumbens nucleus,species,0.8487,needs_review,HOMBA:10339,nucleus accumbens,bm25+fuzzy+hierarchy_parent
Amygdalohippocampal area,species,1.0000,high_confidence,HOMBA:10377,amygdalohippocampal area,bm25+exact+fuzzy+hierarchy_parent
Amygdalopiriform transition area,species,1.0000,high_confidence,HOMBA:10382,amygdalocortical transition area (amygdalopiriform transition area),bm25+exact+fuzzy
Amygdalostriatal Transition,species,0.9512,high_confidence,HOMBA:10381,amygdalostriatal transition area,bm25+fuzzy
Amygdalostriatal transition area,species,1.0000,high_confidence,HOMBA:10381,amygdalostriatal transition area,bm25+exact+fuzzy
Ansa Lenticularis,species,1.0000,high_confidence,HOMBA:10571,ansa lenticularis,bm25+exact+fuzzy
Ansiform Lobule Crus1,species,0.9367,high_confidence,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent
Ansiform Lobule Crus2,species,0.9367,high_confidence,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent
Anterior amygdaloid area,species,1.0000,high_confidence,HOMBA:10362,anterior amygdaloid area,bm25+exact+fuzzy+hierarchy_parent
Anterior Hypothalamic Area,species,1.0000,high_confidence,HOMBA:266441551,anterior hypothalamic area,bm25+exact+fuzzy
Anterior hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:10475,anterior hypothalamic nucleus,bm25+exact+fuzzy
Anterior Interposed Cerebellar Nucleus,species,1.0000,high_confidence,HOMBA:12838,anterior lobe of cerebellar cortex,bm25+exact+fuzzy+hierarchy_parent
Anterior pituitary,species,0.7171,needs_review,HOMBA:10505,pituitary body/gland (hypophysis),bm25+fuzzy+hierarchy_parent
Anterior Pulvinar,species,0.7367,needs_review,HOMBA:10409,pulvinar of thalamus,bm25+fuzzy+hierarchy_parent
Anterior Tegmental Nucleus,species,1.0000,high_confidence,HOMBA:AA30442,anterior tegmental nucleus,bm25+exact+fuzzy
Anterior Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Arcuate nucleus,species,0.7869,needs_review,HOMBA:12536,arcuate nucleus of medulla oblongata,bm25+fuzzy
Basal Nucleus,species,1.0000,high_confidence,HOMBA:10332,basal ganglia (basal nuclei),bm25+exact+fuzzy+hierarchy_parent
Basal nucleus (of Meynert),species,1.0000,high_confidence,HOMBA:10353,basal nucleus of Meynert,bm25+exact+fuzzy
Basolateral amygdaloid nucleus (dorsal),species,1.0000,high_confidence,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,bm25+exact+fuzzy
Basolateral amygdaloid nucleus (intermediate),species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+fuzzy
Basolateral amygdaloid nucleus (ventral),species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+fuzzy
Basolateral Dorsal Amygdaloid Nucleus,species,1.0000,high_confidence,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,bm25+fuzzy
Basolateral Intermediate Amygdaloid Nucleus,species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+exact+fuzzy
Basolateral Ventral Amygdaloid Nucleus,species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+exact+fuzzy
Basomedial amygdaloid nucleus,species,1.0000,high_confidence,HOMBA:15557,dorsomedial tegmental nucleus,bm25+exact+fuzzy
Bed nucleus of the stria terminalis,species,0.9846,high_confidence,HOMBA:10384,bed nucleus of stria terminalis,bm25+fuzzy
Brachium Superior Colliculus,species,0.9542,high_confidence,HOMBA:12328,brachium of superior colliculus,bm25+fuzzy
Capsule of the Antherior Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Caudate Head,species,0.6900,needs_review,HOMBA:10335,head of caudate nucleus,bm25+fuzzy
Caudate Tail,species,1.0000,high_confidence,HOMBA:11538,caudal putamen,bm25+exact+fuzzy
Central amygdaloid nucleus,species,1.0000,high_confidence,HOMBA:11530,rostral medial nucleus,bm25+exact+fuzzy+hierarchy_parent
Central Gray Nucleus,species,1.0000,high_confidence,HOMBA:12201,central oculomotor nucleus,bm25+exact+fuzzy
Central Medial Thalamus,species,1.0000,high_confidence,HOMBA:10445,central medial nucleus of thalamus,bm25+exact+fuzzy
"Central opercular cortex, anterior",species,0.6658,needs_review,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+fuzzy
"Central opercular cortex, posterior",species,1.0000,high_confidence,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+exact+fuzzy
Centrolateral and paracentral thalamic nuclei,species,1.0000,high_confidence,HOMBA:12534,ventrolateral tegmental nucleus,bm25+exact+fuzzy
Centrolateral and Paracentral Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Centromedial-parafascicular Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Centromedian and parafascicular thalamic complex,species,1.0000,high_confidence,HOMBA:15534,retroparafascicular area of thalamus,bm25+exact+fuzzy
Cerebellar Lobule 1 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 10 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 2 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 3 Intermediate,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 3 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 4 Intermediate,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 4 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 5 Intermediate,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 5 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 6 Intermediate,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 6 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 7 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 8 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
Cerebellar Lobule 9 Vermis,species,1.0000,high_confidence,HOMBA:12837,cerebellar lobules,bm25+exact+fuzzy
"Cingulate gyrus, anterior",species,1.0000,high_confidence,HOMBA:12157,"cingulate gyrus, rostral (anterior) part",bm25+exact+fuzzy
"Cingulate gyrus, posterior",species,0.9960,high_confidence,HOMBA:10285,posterior cingulate cortex (PCC),bm25+fuzzy
Claustrum,species,1.0000,high_confidence,HOMBA:10346,claustrum,bm25+exact+fuzzy+hierarchy_parent
Cochlear Nucleus,species,1.0000,high_confidence,HOMBA:12437,cochlear nuclei,bm25+exact+fuzzy+hierarchy_parent
Copula of the Pyramis,species,1.0000,high_confidence,HOMBA:10577,column of the fornix,bm25+exact+fuzzy+hierarchy_parent
Corticospinal Tract,species,1.0000,high_confidence,HOMBA:12047,corticospinal tract,bm25+exact+fuzzy
Crossing of the superior cerebellar peduncle,species,1.0000,high_confidence,HOMBA:12337,decussation of superior cerebellar peduncle,bm25+exact+fuzzy
Cuneate Gracile Nuclei,species,1.0000,high_confidence,HOMBA:10331,cerebral nuclei,bm25+exact+fuzzy
Cuneiform Nucleus,species,1.0000,high_confidence,HOMBA:12240,cuneiform nucleus,bm25+exact+fuzzy+hierarchy_parent
Dorsal endopiriform claustrum,species,1.0000,high_confidence,HOMBA:AA30264,dorsal endopiriform nucleus,bm25+exact+fuzzy
Dorsal Lateral Geniculate,species,0.9975,high_confidence,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+fuzzy
Dorsal lateral geniculate nucleus,species,1.0000,high_confidence,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+exact+fuzzy
