lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
smaundamh,1,PCL,Paracentral Lobule,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
smc,1,PoG,Postcentral Gyrus,Parietal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
smc,2,PrG,Precentral Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
smfc,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
smg ba 40,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
smg ba 42,1,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
smg d,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
smg stg,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
smma,1,PoG,Postcentral Gyrus,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
sofg,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
sog 19,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
somato motor cortex,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
somatomotor cortex,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
somatosensorial 1,1,PoG,Postcentral Gyrus,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
somatosensory,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
