dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
species,Ventrolateral thalamic nucleus,needs_review,0.744627,HOMBA:10443,rostral intralaminar nuclei of thalamus,hierarchy_parent,Ventrolateral thalamic nucleus,rostral intralaminar nuclei of thalamus,,1.0,dorsal midline nuclei of thalamus,0.720288,B_algo,hierarchy_parent over-promotion
species,"Secondary auditory area, ventral part",needs_review,0.745877,HOMBA:10239,"secondary auditory cortex (auditory belt region, area 42, area TB)",bm25+fuzzy,secondary auditory cortex ventral part,secondary auditory cortex,ventral,0.0,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",0.427372,A_effectively_correct,synonym/parent match (review-only flag)
species,Intraamygdaloid Stria Terminalis,needs_review,0.746598,HOMBA:10591,stria terminalis,bm25+fuzzy,Intraamygdaloid Stria Terminalis,stria terminalis,,1.0,remaining caudal extension of BST (along stria terminalis),0.563612,A_effectively_correct,synonym/parent match (review-only flag)
species,"Zona incerta, rostral part",needs_review,0.748877,HOMBA:10463,zona incerta,bm25+fuzzy,"Zona incerta, rostral part",zona incerta,,1.0,"lobule II (central lobule, rostral part)",0.230615,A_effectively_correct,synonym/parent match (review-only flag)
species,"Anterior commissure, intrabulbar part",needs_review,0.75,HOMBA:10559,anterior commissure,bm25+fuzzy+hierarchy_parent,"Anterior commissure, intrabulbar part",anterior commissure,,1.0,rostral (anterior) branch of anterior commissure,0.563579,A_effectively_correct,synonym/parent match (review-only flag)
species,Basolateral Intermediate Amygdaloid Nucleus,needs_review,0.750773,HOMBA:10366,basolateral nuclear group of amygdala,bm25+fuzzy+hierarchy_parent,Basolateral Intermediate Amygdaloid Nucleus,basolateral nuclear group of amygdala,,1.0,basolateral nucleus (basal nucleus) of amygdala,0.670773,A_effectively_correct,synonym/parent match (review-only flag)
species,"Precentral gyrus, lateral",needs_review,0.751667,HOMBA:12114,precentral gyrus,bm25+fuzzy,"Precentral gyrus, lateral",precentral gyrus,lateral,0.0,lateral orbital gyrus,0.409552,A_effectively_correct,synonym/parent match (review-only flag)
species,"Striate cortex, medial",needs_review,0.751667,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy,"Striate cortex, medial",striate cortex,medial,0.0,medial (caudal) entorhinal cortex,0.637626,A_effectively_correct,synonym/parent match (review-only flag)
species,Paralaminar amygdaloid nucleus,needs_review,0.752254,HOMBA:10370,paralaminar nucleus of amygdala,bm25+fuzzy,Paralaminar amygdaloid nucleus,paralaminar nucleus of amygdaloid complex,,1.0,corticomedial nuclear group of amygdala,0.37308,A_effectively_correct,synonym/parent match (review-only flag)
species,"Medial geniculate body, medial division",needs_review,0.752733,HOMBA:10439,medial division of medial geniculate nucleus,bm25+fuzzy,"Medial geniculate body, medial division",medial division of medial geniculate nucleus,medial,1.0,medial geniculate nucleus,0.742624,A_effectively_correct,synonym/parent match (review-only flag)
species,"Postcentral gyrus, lateral",needs_review,0.753867,HOMBA:12132,postcentral gyrus,bm25+fuzzy,"Postcentral gyrus, lateral",postcentral gyrus,lateral,0.0,lateral orbital gyrus,0.409552,A_effectively_correct,synonym/parent match (review-only flag)
species,"Postcentral gyrus, medial",needs_review,0.753867,HOMBA:12132,postcentral gyrus,bm25+fuzzy,"Postcentral gyrus, medial",postcentral gyrus,medial,0.0,medial orbital gyrus,0.411391,A_effectively_correct,synonym/parent match (review-only flag)
species,"Premotor cortex, dorsal",needs_review,0.753867,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",bm25+fuzzy,"Premotor cortex, dorsal",premotor cortex,dorsal,0.0,caudal (dorsal) parasubiculum (subdivision b only),0.597957,A_effectively_correct,synonym/parent match (review-only flag)
species,"Secondary auditory area, dorsal part",needs_review,0.753867,HOMBA:10239,"secondary auditory cortex (auditory belt region, area 42, area TB)",bm25+fuzzy,secondary auditory cortex dorsal part,secondary auditory cortex,dorsal,0.0,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.425667,A_effectively_correct,synonym/parent match (review-only flag)
species,Kolliker-Fuse Nucleus,needs_review,0.756395,HOMBA:12518,Koelliker-Fuse nucleus,bm25+fuzzy,Kolliker-Fuse Nucleus,Koelliker-Fuse nucleus,,1.0,cerebellar deep nuclei,0.492784,C_dict,Kolliker -> Koelliker spelling
species,"Cingulate gyrus, anterior",needs_review,0.757957,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),bm25+fuzzy,cingulate cortex anterior,anterior cingulate  cortex,,1.0,cingulate cortex,0.720643,A_effectively_correct,synonym/parent match (review-only flag)
species,Central canal,needs_review,0.760417,HOMBA:12826,central canal of medulla oblongata,bm25+fuzzy,Central canal,central canal of medulla,,1.0,central canal of spinal cord,0.669763,A_effectively_correct,synonym/parent match (review-only flag)
species,Peduncular lateral hypothalamic nucleus,needs_review,0.761175,HOMBA:13070,magnocellular nucleus of lateral hypothalamic area,bm25+fuzzy,peduncular lateral hypothalamic nuclei,magnocellular nuclei of lateral hypothalamic area,lateral,1.0,"lateral hypothalamic area, tuberal part",0.686178,A_effectively_correct,synonym/parent match (review-only flag)
species,Posterior pituitary,needs_review,0.762133,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),bm25+fuzzy,Posterior pituitary,posterior lobe of pituitary body,posterior,1.0,caudal (posterior) branch of anterior commissure,0.392347,A_effectively_correct,synonym/parent match (review-only flag)
species,Ventral Lateral Posterodorsal Thalamus,needs_review,0.765825,HOMBA:10420,ventral lateral nucleus of thalamus,bm25+fuzzy,Ventral Lateral Posterodorsal Thalamus,ventral lateral nucleus of thalamus,ventral;lateral,1.0,ventral thalamus,0.656565,A_effectively_correct,synonym/parent match (review-only flag)
species,Laterodorsal thalamic nucleus,needs_review,0.769656,HOMBA:10393,anterodorsal nucleus of thalamus,bm25+fuzzy,laterodorsal nucleus of thalamus,anterodorsal nucleus of thalamus,,1.0,interanterodorsal nucleus of thalamus,0.73726,C_dict,laterodorsal -> lateral dorsal nucleus of thalamus
species,"Agranular insular cortex, posterior area",needs_review,0.77,HOMBA:10328,agranular insular cortex (area Iag),bm25+fuzzy,agranular major insular cortex posterior area,agranular major insular cortex,posterior,0.0,agranular temporal insular cortex (area TI),0.634058,A_effectively_correct,synonym/parent match (review-only flag)
species,Agranular insular cortex dorsal area,needs_review,0.7722,HOMBA:10328,agranular insular cortex (area Iag),bm25+fuzzy,agranular major insular cortex dorsal area,agranular major insular cortex,dorsal,0.0,agranular temporal insular cortex (area TI),0.643778,A_effectively_correct,synonym/parent match (review-only flag)
species,"Agranular insular cortex, ventral area",needs_review,0.7722,HOMBA:10328,agranular insular cortex (area Iag),bm25+fuzzy,agranular major insular cortex ventral area,agranular major insular cortex,ventral,0.0,agranular frontal insular cortex (area FI),0.642812,A_effectively_correct,synonym/parent match (review-only flag)
species,"Mediodorsal thalamic nucleus, lateral part",needs_review,0.7722,HOMBA:10398,mediodorsal nucleus of thalamus,bm25+fuzzy,"Mediodorsal thalamic nucleus, lateral part",mediodorsal thalamic nucleus,lateral,0.0,"dentate nucleus, mediodorsal division",0.448762,A_effectively_correct,synonym/parent match (review-only flag)
species,"Mediodorsal thalamic nucleus, medial part",needs_review,0.7722,HOMBA:10398,mediodorsal nucleus of thalamus,bm25+fuzzy,"Mediodorsal thalamic nucleus, medial part",mediodorsal thalamic nucleus,medial,0.0,central medial nucleus of thalamus,0.442277,A_effectively_correct,synonym/parent match (review-only flag)
