lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
occipital sup,3,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,1,1,0.2143,0.25,0.07143,4,6
occipital superior lobe,1,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.375,1.0,0.125,1,6
occipital temporal gyrus 37,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,1,2,0.375,1.0,0.125,1,6
occipital temporal lobe 37,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,1,1,0.375,1.0,0.125,1,6
occipito parietal cortex,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,1,1,0.375,1.0,0.125,1,6
occipito parietal junction,1,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,1,2,0.1875,0.5,0.0625,2,12
occipito parietal junction,2,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,2,0.1875,0.5,0.0625,2,12
occipito temporal,1,FuG_L(R)_3_2,A37mv,medioventral area 37,FuG,105,106,1,2,0.6,1.0,0.2,1,3
occipito temporal junction,1,MTG_L(R)_4_3,A37dl,dorsolateral area 37,MTG,85,86,3,4,0.28,0.5,0.04,6,13
occipito temporal junction,2,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,2,3,0.2,0.3333,0.04,6,13
occipito temporal junction,3,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.12,0.1667,0.04,6,13
