lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
parahippocampal gyrus,18,BG_L(R)_6_6,dlPu,dorsolateral putamen,BG,229,230,4,4,0.0143,0.0145,0.00159,276,78
parahippocampal gyrus,19,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,MFG,15,16,4,4,0.0143,0.0145,0.00159,276,78
parahippocampal gyrus,20,Tha_L(R)_8_5,PPtha,posterior parietal thalamus,Tha,239,240,4,4,0.0143,0.0145,0.00159,276,78
parahippocampal gyrus,21,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,3,3,0.0111,0.0109,0.00159,276,78
parahippocampal gyrus,22,BG_L(R)_6_3,NAC,nucleus accumbens,BG,223,224,2,2,0.0079,0.0072,0.00159,276,78
parahippocampal gyrus,23,STG_L(R)_6_1,A38m,medial area 38,STG,69,70,2,2,0.0079,0.0072,0.00159,276,78
parahippocampal gyrus,24,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,Tha,233,234,2,2,0.0079,0.0072,0.00159,276,78
parahippocampal gyrus,25,MFG_L(R)_7_3,A46,area 46,MFG,19,20,1,2,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,26,OrG_L(R)_6_6,A12/47l,lateral area 12/47,OrG,51,52,1,2,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,27,PCL_L(R)_2_1,A1/2/3ll,area 1/2/3 (lower limb region),PCL,65,66,1,2,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,28,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,29,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,30,INS_L(R)_6_1,G,hypergranular insula,INS,163,164,1,1,0.0048,0.0036,0.00159,276,78
