name_core,alias_core,n_papers,n_rows
lateral occipital cortex,middle division,1,2
lateral occipital cortex,pole occipital,1,1
lateral occipital cortex tactile visual,lotv,1,1
lateral occipitalcortex,lo,1,1
itc,litc,1,2
inferior parietal supramarginal gyrus,smg,1,1
inferior temporal cortex,area 37,1,1
inferior temporal cortex,fusiform gyrus,1,1
inferior temporal gyrus,lotv,1,2
inferior temporal gyrus,temporal pole,1,2
inferior temporal gyrus,vwfa,1,1
inferior ventral premotor cortex,pmv,1,1
insula,anterior and posterior,1,2
insula,heschl,1,1
insula,l13,1,1
insula,limbic cortex,1,1
intraparietal sulcus,ba 7 hip2,1,1
insula,roi,1,3
insula cortex,anterior,1,4
insula cortex,posterior,1,2
insula lobe,op2,1,1
insular cortex,ains,1,1
internal globus pallidus,gpi,1,1
intra parietal sulcus,aip,1,1
intra parietal sulcus,ips,1,1
intrapaprietal sulcus,ips,1,1
intraparietal cortex,pgp pga pfm,1,1
intraparietal sulcus,ant,1,1
intraparietal sulcus,anterior,1,2
insula,op3,1,1
