lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
anterior cingulate gyrus,L,23,23,1.0,1.0
posterior cingulate cortex,R,23,33,0.0303,0.9697
precentral,R,23,33,0.0303,0.9697
paracingulate gyrus,U,22,35,0.4,
calcarine gyrus,U,22,33,0.4545,
visual cortex,U,22,43,0.3256,
occipital,U,22,66,0.5606,
middle cingulate gyrus,U,22,33,0.4545,
striatum,U,21,37,0.5405,
frontal,U,21,80,0.5125,
middle frontal,U,21,41,0.3902,
insular cortex,U,21,38,0.3947,
inferior temporal,U,21,32,0.4062,
superior occipital gyrus,L,21,27,1.0,1.0
claustrum,U,21,24,0.7083,
postcentral,U,21,37,0.5676,
frontal pole,R,21,35,0.0,1.0
rolandic operculum,R,21,26,0.0385,0.9615
ventromedial prefrontal cortex,U,20,33,0.6667,
intraparietal sulcus,R,20,30,0.0,1.0
inferior parietal gyrus,U,20,34,0.7059,
inferior parietal,U,20,51,0.7255,
caudate nucleus,L,20,22,0.9545,0.9545
premotor cortex,U,20,34,0.5588,
inferior frontal,U,19,46,0.4348,
superior parietal,L,19,25,0.96,0.96
superior temporal sulcus,R,19,25,0.0,1.0
inferior parietal,L,19,29,1.0,1.0
tpj,U,19,39,0.6923,
parietal,U,18,70,0.6286,
calcarine sulcus,U,18,23,0.6087,
posterior cingulate,L,18,22,0.9545,0.9545
superior parietal,R,18,22,0.0,1.0
occipital cortex,U,18,37,0.5676,
temporal,U,18,73,0.5205,
middle cingulate cortex,L,17,23,0.9565,0.9565
postcentral,R,17,22,0.0,1.0
globus pallidus,L,17,20,1.0,1.0
superior temporal,U,17,27,0.2963,
frontal operculum,U,16,19,0.3684,
mog,U,16,34,0.5588,
postcentral,L,16,22,0.9091,0.9091
occipital cortex,L,16,21,1.0,1.0
paracentral lobule,R,16,18,0.0556,0.9444
middle temporal,U,16,29,0.3448,
medial superior frontal gyrus,U,16,27,0.5926,
supramarginal,R,16,17,0.0,1.0
lentiform nucleus,U,16,20,0.65,
medial prefrontal cortex,R,16,22,0.0,1.0
parietal operculum,U,15,25,0.56,
lateral occipital cortex,L,15,27,1.0,1.0
post central gyrus,U,15,21,0.5238,
superior parietal gyrus,U,15,19,0.4211,
superior occipital gyrus,R,15,17,0.1176,0.8824
superior temporal sulcus,L,15,22,1.0,1.0
superior parietal,U,15,28,0.6429,
angular,U,15,18,0.3889,
midbrain,U,15,16,0.625,
lingual,R,15,18,0.0556,0.9444
dorsal anterior cingulate cortex,U,15,19,0.4211,
lateral occipital cortex,R,15,29,0.0345,0.9655
superior medial gyrus,L,14,18,0.7778,0.7778
anterior cingulate gyrus,R,14,15,0.0667,0.9333
insular cortex,R,14,21,0.0,1.0
superior medial gyrus,U,14,23,0.6087,
medial prefrontal cortex,L,14,23,0.913,0.913
inferior parietal cortex,L,14,25,1.0,1.0
parahippocampal,U,14,22,0.4545,
temporal lobe,U,14,37,0.4865,
lingual,U,14,31,0.7097,
calcarine,R,14,20,0.0,1.0
calcarine gyrus,L,14,17,0.9412,0.9412
calcarine gyrus,R,14,19,0.0,1.0
cingulate,U,14,22,0.6818,
dorsomedial prefrontal cortex,U,14,21,0.381,
angular,L,14,15,1.0,1.0
posterior cingulate,R,14,23,0.1304,0.8696
supramarginal,U,14,23,0.4348,
lentiform nucleus,L,13,17,0.7059,0.7059
dorsal anterior cingulate,U,13,16,0.5,
premotor cortex,R,13,16,0.0625,0.9375
pulvinar,U,13,21,0.4286,
nucleus accumbens,U,13,18,0.5556,
rolandic operculum,L,13,19,0.9474,0.9474
frontal pole,L,13,19,1.0,1.0
superior parietal cortex,U,13,18,0.6667,
posterior insula,L,13,15,0.9333,0.9333
post central gyrus,L,12,15,0.9333,0.9333
dacc,U,12,19,0.5263,
posterior insula,R,12,14,0.0,1.0
frontal orbital cortex,U,12,17,0.5294,
superior frontal sulcus,U,12,14,0.5,
superior parietal lobe,R,12,18,0.0,1.0
nucleus accumbens,R,12,13,0.0,1.0
uncus,U,12,16,0.625,
occipital cortex,R,12,21,0.0,1.0
insula ba 13,L,12,16,1.0,1.0
parahippocampal,R,12,14,0.0,1.0
parietal lobe,U,12,17,0.4118,
globus pallidus,R,12,12,0.0833,0.9167
occipital gyrus,U,12,16,0.375,
inferior parietal cortex,R,12,21,0.0,1.0
pre supplementary motor area,U,12,13,0.3846,
lingual,L,12,15,1.0,1.0
occipital pole,L,12,18,0.8333,0.8333
pre sma,L,12,25,0.88,0.88
frontal eye field,U,12,18,0.5556,
calcarine,L,11,20,1.0,1.0
premotor cortex,L,11,20,1.0,1.0
ventrolateral prefrontal cortex,R,11,17,0.0588,0.9412
inferior parietal lobule ba 40,U,11,19,0.3684,
precentral gyrus ba 6,U,11,13,0.8462,
inferior parietal gyrus,L,11,12,1.0,1.0
occipital fusiform gyrus,U,11,15,0.4,
temporoparietal junction,U,11,23,0.6087,
declive,U,11,16,0.75,
insula lobe,R,11,15,0.0,1.0
frontal sup,R,11,13,0.0,1.0
angular,R,11,11,0.0,1.0
medial frontal,U,11,18,0.6111,
insula ba 13,R,11,15,0.0,1.0
brainstem,U,11,12,0.4167,
retrosplenial cortex,U,11,17,0.4706,
inferior frontal,R,10,12,0.0,1.0
vmpfc,L,10,13,1.0,1.0
insula lobe,L,10,13,1.0,1.0
superior parietal lobe,L,10,21,1.0,1.0
posterior sts,U,10,21,0.6667,
insula lobe,U,10,27,0.5926,
culmen,U,10,12,0.5,
superior parietal cortex,R,10,13,0.0,1.0
temporal mid,L,10,23,1.0,1.0
orbital frontal cortex,L,10,16,1.0,1.0
post central gyrus,R,10,11,0.0,1.0
middle frontal gyrus ba 6,L,10,12,1.0,1.0
middle frontal gyrus ba 6,R,10,12,0.0833,0.9167
orbitofrontal cortex,L,10,14,1.0,1.0
occipital pole,R,10,11,0.1818,0.8182
precuneus ba 7,L,10,10,1.0,1.0
claustrum,L,10,10,1.0,1.0
