lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
medial frontal gyrus ba 6,L,4,5,1.0,1.0
sensorimotor cortex,U,4,11,0.5455,
sma proper,U,4,8,0.875,
dorsal acc,R,4,4,0.0,1.0
superior temporal gyrus ba 39,R,4,5,0.0,1.0
superior temporal gyrus ba 22,U,4,5,0.6,
inf parietal lobule,R,4,5,0.0,1.0
parietal operculum,L,4,5,1.0,1.0
frontal,R,4,6,0.0,1.0
frontal cortex,L,4,4,0.75,0.75
middle frontal sulcus,U,4,4,0.75,
inferior parietal lobule 40,L,4,8,0.875,0.875
ba 44,U,4,6,0.1667,
ba 40,U,4,9,0.5556,
superior temporal gyrus ba 42,U,4,4,0.25,
supp motor area,R,4,4,0.0,1.0
medial ofc,U,4,11,0.7273,
medial occipital cortex,U,4,7,0.4286,
supplementary motor area ba 6,U,4,4,0.5,
calcarine cortex,L,4,4,1.0,1.0
calcarine cortex,U,4,5,1.0,
lingual gyrus 18,U,4,8,0.5,
lmfg,U,4,6,1.0,
intra parietal sulcus,U,4,6,0.6667,
posterior middle temporal gyrus,U,4,5,0.8,
fusiform gyrus 37,R,4,8,0.0,1.0
mid frontal,L,4,9,1.0,1.0
central sulcus,L,4,6,1.0,1.0
anterior sts,L,4,6,1.0,1.0
medial temporal gyrus,U,4,4,0.25,
superior temporal gyrus 22,U,4,4,0.75,
medial orbitofrontal cortex,R,4,4,0.0,1.0
primary sensory cortex,U,4,14,0.7143,
pocg,U,4,7,0.2857,
cuneus 18,L,4,9,1.0,1.0
anterior cingulate gyrus,B,4,6,0.5,
cuneus ba 18,U,4,4,0.5,
middle frontal gyrus ba 10,L,4,4,1.0,1.0
middle frontal gyrus 8,U,4,5,0.4,
cuneus,B,4,4,0.5,
middle frontal gyrus ba 46,R,4,5,0.0,1.0
middle frontal gyrus ba 9,L,4,5,0.8,0.8
cuneus 19,R,4,5,0.0,1.0
middle frontal gyrus 9,R,4,4,0.0,1.0
middle frontal gyrus ba 8,L,4,4,1.0,1.0
middle frontal gyrus ba 8,R,4,6,0.0,1.0
limbic,U,4,16,0.625,
frontal lobe,R,4,4,0.0,1.0
pars opercularis,U,4,7,0.8571,
pars triangularis,R,4,5,0.0,1.0
subthalamic nucleus,U,4,4,0.75,
lateral parietal cortex,U,4,11,0.2727,
lifg,U,4,23,1.0,
subcallosal cortex,U,4,4,0.5,
cingulate gyrus ba 32,L,4,4,1.0,1.0
superior parietal lobule 7,U,4,6,0.6667,
superior frontal gyrus 6,U,4,6,0.8333,
anterior pfc,U,4,6,0.5,
anterior prefrontal cortex,U,4,6,0.5,
precentral cortex,R,4,5,0.0,1.0
anterior superior temporal gyrus,U,4,5,0.8,
superior frontal cortex,L,4,6,1.0,1.0
superior frontal cortex,R,4,5,0.0,1.0
cingulate,L,4,4,1.0,1.0
posterior superior temporal gyrus,U,4,4,0.75,
pre central gyrus,U,4,8,0.75,
subcortical,U,4,10,0.3,
posterior,U,4,8,0.375,
prefrontal cortex,R,4,6,0.0,1.0
medial prefrontal gyrus,U,4,4,0.5,
frontal operculum,R,4,5,0.0,1.0
middle frontal g,L,4,9,1.0,1.0
lateral parietal,U,4,6,0.5,
frontal operculum cortex,L,4,4,1.0,1.0
frontal mid orb,L,4,5,1.0,1.0
superior frontal gyrus ba 8,U,4,9,0.3333,
superior frontal gyrus ba 9,L,4,4,1.0,1.0
superior frontal gyrus ba 10,R,4,6,0.0,1.0
cuneal cortex,U,4,5,0.6,
anterior hippocampus,L,4,6,1.0,1.0
inferior temporal g,U,4,6,0.5,
posterior cingulate cortex,B,4,4,0.75,
internal capsule,U,4,4,0.5,
intra parietal sulcus,L,4,4,1.0,1.0
anterior insular cortex,U,4,20,0.55,
anterior intraparietal sulcus,L,4,5,0.8,0.8
midcingulate gyrus,U,4,7,0.4286,
frontal sup,L,4,8,1.0,1.0
middle temporal gyrus ba 39,L,4,4,1.0,1.0
inferior frontal cortex,L,4,6,1.0,1.0
fef,L,4,7,1.0,1.0
brain stem,U,4,4,0.5,
dorsomedial prefrontal cortex,L,4,4,1.0,1.0
uncus,L,4,4,1.0,1.0
temporal gyrus,U,4,8,0.625,
temporal lobe,L,4,4,1.0,1.0
lofc,U,4,6,0.3333,
inferior frontal gyrus ba 9,L,4,4,1.0,1.0
gyrus rectus,U,4,5,0.6,
inferior frontal gyrus ba 44,L,4,6,1.0,1.0
angular gyrus 39,U,4,7,0.7143,
angular gyrus ba 39,L,4,4,1.0,1.0
inferior frontal junction,L,4,5,0.8,0.8
inferior occipital,U,4,17,0.6471,
temporo parietal junction,L,3,11,1.0,1.0
inferior frontal gyrus 47,L,3,3,1.0,1.0
inferior frontal gyrus 47,R,3,5,0.0,1.0
inferior frontal gyrus 9,L,3,3,1.0,1.0
inferior occipital,L,3,3,1.0,1.0
inferior occipital,R,3,4,0.0,1.0
inferior occipital cortex,R,3,3,0.0,1.0
inferior occipital cortex,U,3,4,0.5,
inferior frontal gyrus ba 44,R,3,6,0.0,1.0
ventral anterior cingulate cortex,U,3,5,0.4,
vacc,U,3,6,0.8333,
inferior frontal junction,U,3,5,0.2,
inferior frontal gyrus ba 47,U,3,4,0.5,
inferior frontal gyrus pars opercularis,U,3,5,0.6,
gyrus,U,3,7,0.5714,
medial dorsal nucleus,U,3,3,0.6667,
medial frontal,L,3,3,1.0,1.0
medial frontal gyrus 10,L,3,3,1.0,1.0
heschl,L,3,3,1.0,1.0
rmfg,U,3,5,0.0,
rmtg,U,3,12,0.0,
vermis,U,3,4,0.25,
log,U,3,7,0.4286,
loc,U,3,6,0.3333,
sup parietal lobule,R,3,5,0.0,1.0
ba 13,U,3,9,0.8889,
paracentral gyrus,U,3,4,0.5,
anterior cingulate 32,U,3,3,1.0,
supramarginal gyrus ba 40,L,3,3,1.0,1.0
parahippocampal gyrus ba 36,U,3,6,0.6667,
parahippocampal gyrus 36,U,3,3,1.0,
parahippocampal gyrus 28,U,3,4,0.75,
occipito temporal junction,U,3,5,0.8,
occipital mid,R,3,3,0.0,1.0
occipital mid,U,3,5,0.6,
mid frontal,R,3,4,0.0,1.0
mid frontal gyrus,R,3,4,0.0,1.0
mid cingulate cortex,R,3,4,0.25,0.75
mid occipital gyrus,U,3,13,0.6154,
mid insula,L,3,3,1.0,1.0
inferior operculum,U,3,10,0.3,
inferior orbital,U,3,8,0.375,
inferior occipital gyrus ba 18,R,3,3,0.0,1.0
ventral premotor cortex,R,3,5,0.0,1.0
ventral thalamus,U,3,3,0.6667,
middle temporal cortex,U,3,3,0.6667,
ffg,R,3,3,0.0,1.0
occipital inf,R,3,4,0.0,1.0
ffg,U,3,5,0.2,
middle temporal cortex,R,3,3,0.0,1.0
orbital frontal gyrus,L,3,3,1.0,1.0
orbitofrontal gyrus,L,3,5,1.0,1.0
orbitofrontal gyrus,R,3,3,0.0,1.0
orbitofrontal,L,3,4,1.0,1.0
medfg,U,3,7,0.5714,
gyrus rectus,R,3,3,0.0,1.0
caudal anterior cingulate cortex,U,3,5,0.4,
inferior temporal gyrus ba 20,U,3,3,0.3333,
inferior temporal gyrus ba 37,U,3,4,0.75,
insula 13,L,3,3,0.6667,0.6667
inferior triangular,U,3,9,0.3333,
inf parietal,R,3,4,0.0,1.0
sup frontal,U,3,5,0.6,
calcarine gyrus ba 17,R,3,3,0.0,1.0
frontal operculum,L,3,3,1.0,1.0
postcentral g,U,3,3,0.3333,
postcentral gyrus ba 2,R,3,6,0.0,1.0
postcentral gyrus ba 3,L,3,3,1.0,1.0
postcentral gyrus ba 3,U,3,5,0.6,
postcentral gyrus 3,R,3,3,0.0,1.0
cingulum mid,R,3,3,0.0,1.0
cingulum mid,U,3,6,0.5,
post central,L,3,3,1.0,1.0
dacc,L,3,4,0.25,0.25
post insula,U,3,3,0.3333,
postcentral sulcus,U,3,4,0.75,
middle frontal g,R,3,3,0.0,1.0
middle frontal gyrus,B,3,3,0.6667,
middle frontal gyrus 10,U,3,7,0.2857,
frontal orbital cortex,R,3,6,0.0,1.0
superior frontal lobe,U,3,8,0.5,
inferior temporal sulcus,U,3,7,0.7143,
inferior temporal lobe,L,3,3,0.6667,0.6667
inferior temporal gyrus ba 20,L,3,5,1.0,1.0
inferior temporal gyrus ba 20,R,3,4,0.0,1.0
middle frontal gyrus 6,L,3,4,1.0,1.0
middle frontal gyrus 6,U,3,6,0.6667,
frontal operculum cortex,U,3,3,0.6667,
precuneus ba 31,R,3,3,0.0,1.0
striatum,R,3,4,0.25,0.75
stga,U,3,5,0.4,
stg 22,U,3,6,0.5,
subcallosal gyrus,U,3,4,0.25,
sub lobar,U,3,16,0.5,
subthalamic nucleus,R,3,3,0.0,1.0
lateral pfc,U,3,11,0.5455,
cingulate sulcus,U,3,3,0.3333,
postcentral g,R,3,4,0.25,0.75
superior parietal lobule 7,R,3,6,0.0,1.0
anterior intraparietal sulcus,R,3,3,0.3333,0.6667
anterior intraparietal sulcus,U,3,4,0.75,
superior parietal lobule ba 7,R,3,4,0.0,1.0
precuneus ba 19,L,3,3,1.0,1.0
precuneus ba 31,L,3,3,1.0,1.0
precental gyrus,R,3,5,0.0,1.0
anterior superior temporal sulcus,L,3,3,1.0,1.0
superior frontal g,R,3,4,0.0,1.0
superior frontal gyrus 6,L,3,5,1.0,1.0
apfc,R,3,4,0.0,1.0
superior occipital cortex,U,3,4,0.75,
anterior temporal lobe,U,3,3,0.3333,
anterior stg,U,3,3,1.0,
calcarine fissure,R,3,3,0.0,1.0
calcarine fissure,U,3,8,0.5,
cingulate g,U,3,8,0.625,
superior frontal gyrus 8,R,3,3,0.0,1.0
superior frontal gyrus ba 10,L,3,3,1.0,1.0
prc,U,3,3,0.3333,
pre supplementary motor area,R,3,4,0.0,1.0
precentral cortex,L,3,3,1.0,1.0
superior temporal g,U,3,10,0.7,
superior temporal gyrus 22,R,3,6,0.0,1.0
anterior fusiform,U,3,3,0.6667,
medial occipital gyrus,U,3,3,1.0,
medial globus pallidus,U,3,3,1.0,
prg,U,3,4,0.25,
precuneus 19,L,3,3,1.0,1.0
central sulcus,U,3,5,0.6,
inf occipital gyrus,R,3,3,0.0,1.0
crus i,R,3,4,0.0,1.0
post parietal,U,3,5,1.0,
planum polare,L,3,3,1.0,1.0
pmd,R,3,7,0.0,1.0
calcarine fissure,L,3,3,1.0,1.0
ba 19,U,3,6,0.8333,
auditory cortex,U,3,19,0.3684,
pcg,L,3,3,1.0,1.0
middle frontal gyrus 9,L,3,4,1.0,1.0
middle frontal gyrus ba 6,U,3,5,0.8,
middle frontal gyrus 9,U,3,11,0.3636,
cuneus 18,R,3,3,0.0,1.0
cuneus 19,L,3,3,1.0,1.0
cuneus 19,U,3,3,1.0,
pog,U,3,4,0.25,
limbic lobe,R,3,3,0.3333,0.6667
lateral temporal cortex,U,3,5,0.6,
hypothalamus,L,3,4,0.5,0.5
hypothalamus,U,3,5,0.4,
frontal inf tri,U,3,3,1.0,
pcun,U,3,5,0.2,
pcu,L,3,3,0.6667,0.6667
pcu,R,3,3,0.0,1.0
lingual gyrus,B,3,3,0.3333,
lingual gyrus 18,L,3,4,1.0,1.0
lingual gyrus ba 17,R,3,3,0.0,1.0
medial frontal gyrus ba 8,L,3,3,1.0,1.0
declive,R,3,3,0.0,1.0
supplementary motor area ba 6,L,3,4,1.0,1.0
anterior cingulum,R,3,5,0.6,0.4
anterior cingulate gyrus ba 24,R,3,3,0.0,1.0
insular,L,3,6,1.0,1.0
intracalcarine cortex,L,3,3,1.0,1.0
intracalcarine cortex,R,3,4,0.0,1.0
precental gyrus,U,3,4,0.5,
posterior insular cortex,U,3,5,0.4,
posterior mtg,L,3,7,1.0,1.0
posterior stg,R,3,4,0.0,1.0
presupplementary motor area,U,3,3,0.3333,
mid occipital gyrus,L,3,5,1.0,1.0
frontopolar cortex,L,3,5,0.8,0.8
posterior supramarginal gyrus,U,3,6,1.0,
cingulate gyrus,B,3,4,1.0,
midcingulate cortex,L,3,3,1.0,1.0
superior occipital gyrus ba 19,U,3,5,0.2,
insula ba 47,R,3,3,0.0,1.0
insula ba 48,R,3,4,0.0,1.0
anterior sts,R,3,5,0.0,1.0
anterior thalamus,U,3,6,0.1667,
medial temporal,U,3,3,0.3333,
fusiform gyrus 19,R,3,3,0.0,1.0
medial temporal pole,U,3,4,0.5,
mid temporal,L,3,6,1.0,1.0
mid temporal,R,3,4,0.0,1.0
mid temporal,U,3,4,1.0,
sef,L,3,4,1.0,1.0
sma 6,U,3,5,0.8,
sma ba 6,R,3,3,0.0,1.0
red nucleus,L,3,3,1.0,1.0
medial frontal gyrus ba 9,L,3,4,1.0,1.0
ba 32,U,3,5,0.4,
superior and middle temporal gyrus,L,3,3,1.0,1.0
cerebellum anterior lobe,R,3,4,0.0,1.0
anterior fusiform gyrus,U,3,3,0.6667,
superior temporal gyrus ba 41,U,3,3,0.6667,
superior temporal gyrus ba 22,L,3,3,1.0,1.0
superior temporal gyrusa,U,3,5,0.8,
phc,U,3,6,0.8333,
pgacc,U,3,6,0.1667,
ba 24,U,3,4,1.0,
sensorimotor cortex,L,3,3,1.0,1.0
inf temporal gyrus,U,3,5,0.6,
inf parietal lobule,L,3,3,1.0,1.0
perirhinal cortex,U,3,3,1.0,
planum temporale,R,3,3,0.0,1.0
dlpfc ba 9,U,3,6,0.5,
parietal lobule,U,3,5,0.6,
parietal lobe,L,3,3,1.0,1.0
parieto occipital sulcus,L,3,3,1.0,1.0
ba 42,U,3,6,0.6667,
superior temporal lobe,U,3,12,0.5,
frontal med orb,L,3,3,1.0,1.0
frontal,L,3,9,1.0,1.0
fornix,U,3,3,0.6667,
parietal sup,R,3,5,0.0,1.0
middle insula,L,3,3,0.6667,0.6667
middle occipital,L,3,3,1.0,1.0
frontal cortex,U,3,3,0.6667,
middle occipital gyrus 19,L,3,3,1.0,1.0
middle occipital gyrus 19,R,3,3,0.0,1.0
middle occipital gyrus 19,U,3,4,0.75,
dorsal mpfc,U,3,3,1.0,
paracingulate gyrus,R,3,3,0.0,1.0
middle occipital gyrus ba 18,R,3,6,0.0,1.0
middle occipital gyrus ba 19,L,3,5,1.0,1.0
precuneous,U,3,3,0.3333,
ba 37,U,3,3,0.6667,
ba 22,U,3,7,0.5714,
ba 23,U,3,3,0.6667,
dorsal medial prefrontal cortex,U,3,3,0.6667,
pulvinar,L,3,3,1.0,1.0
psts,L,3,3,1.0,1.0
retrosplenial cortex,R,3,3,0.0,1.0
central operculum,U,3,4,0.5,
fusiform gyrus ba 37,U,3,3,0.6667,
fusiform gyrus ba 37,R,3,3,0.0,1.0
mid cingulate gyrus,R,3,3,0.0,1.0
precentral gyrus ba 44,U,3,3,0.3333,
precentral gyrus 6,U,3,4,1.0,
precentral gyrus ba 4,L,3,3,1.0,1.0
precu,U,3,3,0.3333,
lateral occipital gyrus,U,3,9,0.5556,
lateral occipital,L,3,4,1.0,1.0
lateral ofc,L,3,5,1.0,1.0
sup occipital gyrus,L,3,8,1.0,1.0
sup frontal gyrus,L,3,3,1.0,1.0
precentral gyrus ba 4,U,3,3,0.3333,
precentral gyrus 4,R,3,4,0.0,1.0
lateral occipital,U,3,3,0.3333,
inferior frontal gyrus opercularis,U,3,3,0.0,
ventral tegmental area,U,3,6,0.0,
inferior frontal sulcus,R,3,3,0.0,1.0
vpm,U,3,4,1.0,
amygdalaa,U,3,3,0.6667,
temporal sup,R,3,6,0.0,1.0
anterior cerebellum,U,3,5,0.6,
lpfc,U,3,4,0.75,
temporo parietal junction,R,3,10,0.0,1.0
inferior frontal gyrus 46,L,3,4,1.0,1.0
tha,L,3,4,1.0,1.0
tha,R,3,3,0.3333,0.6667
angular g,U,3,5,0.4,
dpmc,U,3,11,0.2727,
eba,U,3,3,0.3333,
dorsomedial prefrontal cortex,R,3,6,0.0,1.0
inferior frontal operculum,L,3,5,1.0,1.0
white matter,U,3,4,0.5,
inferior frontal gyrus pars triangularis,L,3,6,1.0,1.0
nucleus caudatus,U,3,6,0.6667,
dorsomedial frontal gyrus,U,3,3,0.3333,
middle temporal gyrus ba 21,R,3,3,0.0,1.0
middle temporal gyrus 22,U,3,3,0.6667,
midfrontal gyrus,R,3,5,0.0,1.0
dorsal anterior cingulate cortex,L,3,4,1.0,1.0
dorsal anterior cingulate cortex,R,3,3,0.0,1.0
sii,L,3,5,1.0,1.0
temporal pole mid,R,3,3,0.0,1.0
temporal occipital fusiform cortex,L,3,5,1.0,1.0
ant insula,R,3,3,0.0,1.0
angular g,L,3,3,1.0,1.0
aic,L,3,3,1.0,1.0
anterior middle cingulate cortex,U,3,6,0.6667,
midbrain,L,3,4,0.75,0.75
middle cingulate,R,3,6,0.0,1.0
frontal sup orb,L,3,5,1.0,1.0
posterior hippocampus,R,3,3,0.0,1.0
posterior hippocampus,U,3,4,0.75,
intra parietal sulcus,R,3,5,0.0,1.0
intraparietal cortex,R,3,3,0.0,1.0
precentral g,U,3,8,0.75,
cerebellum 8,U,3,8,0.875,
cereb,U,3,3,0.3333,
cerebellar declive,U,3,3,1.0,
dorsomedial thalamus,U,3,5,0.2,
middle temporal gyrus 39,R,3,3,0.0,1.0
middle temporal gyrus ba 39,R,3,6,0.0,1.0
middle temporal gyrus ba 39,U,3,3,0.6667,
secondary somatosensory cortex,R,3,3,0.0,1.0
secondary somatosensory cortex,U,3,3,0.6667,
basal ganglia,L,3,11,1.0,1.0
basal ganglia,R,3,8,0.0,1.0
inferior orbitofrontal cortex,U,3,3,0.6667,
middle temporal pole,U,3,6,0.8333,
extra nuclear,L,3,3,1.0,1.0
extra nuclear,U,3,6,0.5,
ventral medial prefrontal cortex,U,3,8,0.125,
inferior frontal g,L,3,7,1.0,1.0
inferior frontal g,R,3,6,0.0,1.0
temporal lobe,R,3,3,0.0,1.0
ofa,U,3,5,0.4,
orbital gyrus,U,3,5,0.4,
dorsal premotor cortex,R,3,3,0.0,1.0
rsc,U,3,3,1.0,
vfc,U,2,6,0.6667,
vmpfc,B,2,2,0.5,
amyg,L,2,2,1.0,1.0
amcc,U,2,2,0.0,
inferior occipital gyrus 18,U,2,4,0.5,
inferior occipital gyrus 19,R,2,2,0.0,1.0
inferior occipital gyrus ba 17,L,2,2,1.0,1.0
inferior occipital g,U,2,5,0.6,
trans temporal gyrus,U,2,3,1.0,
toc,U,2,3,0.6667,
thalamus pulvinar,U,2,3,0.6667,
thal,R,2,2,0.5,0.5
inferior frontal cortex,R,2,2,0.0,1.0
inferior orbitofrontal cortex,R,2,2,0.0,1.0
inferior orbital frontal gyrus,L,2,2,1.0,1.0
inferior ofc,U,2,7,0.1429,
inferior occipital gyrus ba 18,L,2,2,1.0,1.0
inferior occipital gyrus ba 19,L,2,3,1.0,1.0
inferior occipital gyrus ba 19,R,2,2,0.0,1.0
inferior occipital gyrus ba 19,U,2,3,0.3333,
temporal parietal junction,U,2,4,0.5,
temporal inf,U,2,5,0.2,
temporal inferior,U,2,2,1.0,
temporal fusiform gyrus,U,2,2,0.5,
temporal gyrus,L,2,3,1.0,1.0
temporal,L,2,3,1.0,1.0
temporal,R,2,2,0.0,1.0
inferior parietal cortex ba 40,U,2,2,0.5,
ant thalamus,R,2,2,0.0,1.0
ant insula,L,2,2,1.0,1.0
ant insula,U,2,3,0.6667,
ant cingulate gyrus,U,2,2,0.5,
temporal pole ba 38,L,2,4,1.0,1.0
temporal pole ba 38,R,2,2,0.0,1.0
temporal pole 38,L,2,5,1.0,1.0
temporal parietal junction,R,2,2,0.0,1.0
middle occipital lobe,U,2,6,0.5,
middle occipital gyrus 18,U,2,2,1.0,
dorsal midbrain,U,2,2,0.0,
dorsal medial frontal cortex,U,2,2,0.5,
paracentral lobule ba 5,U,2,3,0.6667,
paracentral lobule and sulcus,U,2,3,0.6667,
paracentral lobule ba 5,L,2,2,1.0,1.0
pacc,U,2,2,0.5,
ffa,L,2,2,0.5,0.5
ffa,R,2,2,0.5,0.5
middle sts,R,2,2,0.0,1.0
middle orbital frontal,U,2,3,1.0,
middle orbital frontal gyrus,R,2,2,0.0,1.0
middle orbital gyrus,L,2,2,1.0,1.0
middle orbital gyrus ba 10,R,2,2,0.0,1.0
middle orbital,U,2,9,0.0,
ofg,R,2,3,0.0,1.0
occipitotemporal area ba 37,U,2,3,0.6667,
occipitotemporal cortex,L,2,3,1.0,1.0
occipital inf,U,2,2,1.0,
occipital lingual gyrus,R,2,3,0.0,1.0
middle temporal cortex,L,2,2,1.0,1.0
fmc,U,2,2,1.0,
ffg,L,2,3,1.0,1.0
occ,U,2,2,0.0,
f3o,U,2,5,0.6,
dorsolateral pfc ba 46,L,2,2,1.0,1.0
dorsal premotor,R,2,3,0.0,1.0
dorsal premotor cortex,L,2,3,1.0,1.0
orbital frontal,U,2,2,1.0,
operculum,L,2,2,1.0,1.0
olfactory cortex,U,2,2,1.0,
dorsal acc,L,2,2,1.0,1.0
dmpfc ba 8,U,2,2,0.0,
dlpfcb,U,2,4,0.75,
dmfc,U,2,2,0.5,
parietal inf,R,2,3,0.3333,0.6667
parietal lobe,R,2,2,0.0,1.0
dorsal lateral prefrontal cortex,U,2,2,0.0,
plpfc,U,2,2,1.0,
frontal inf oper,R,2,2,0.0,1.0
frontal inf oper,U,2,3,0.6667,
middle frontalgyrus,U,2,3,0.6667,
middle frontopolar gyrus,R,2,3,0.3333,0.6667
parieto occipital junction,L,2,2,1.0,1.0
parietal operculum cortex,R,2,2,0.0,1.0
parietal sup,U,2,2,0.5,
dorsal acc,B,2,2,0.0,
parahippocampal gyrus 30,U,2,2,0.0,
parahippocampal gyrus 36,L,2,2,1.0,1.0
parahippocampal g,R,2,2,0.0,1.0
parahippocampa gyrus,U,2,2,0.5,
dorsal prefrontal cortex,U,2,2,1.0,
dorsal posterior cingulate cortex,U,2,2,0.5,
dorsal medial prefrontal cortex,R,2,2,0.0,1.0
frontal inf oper,L,2,4,1.0,1.0
other,U,2,4,0.5,
pacc,R,2,2,0.0,1.0
orbitofrontal gyrus,U,2,2,0.5,
orbital sulcus,U,2,2,0.5,
orbital frontal gyrus,R,2,2,0.5,0.5
dorsal anterior insula,R,2,2,0.0,1.0
parahippocampal gyrus ba 36,R,2,2,0.0,1.0
parahippocampal gyrus 28,R,2,2,0.0,1.0
cuneus ba 17 18,R,2,3,0.0,1.0
cuneus ba 18,L,2,7,1.0,1.0
pocg,R,2,3,0.0,1.0
pmfg,U,2,2,0.5,
pmv 6,U,2,6,1.0,
pmd 6,U,2,7,1.0,
pmd ba 6,U,2,3,0.3333,
pma,U,2,5,0.6,
middle frontal gyrus ba 10,U,2,4,0.0,
middle frontal gyrus ba 11,U,2,2,0.0,
middle frontal gyrus 8,R,2,2,0.0,1.0
cuneus ba 19,R,2,3,0.0,1.0
cuneus ba 19,U,2,2,1.0,
cuneus ba 7,L,2,2,1.0,1.0
cuneus ba 17,L,2,2,1.0,1.0
cuneus ba 17,U,2,3,0.3333,
pcc 31,U,2,2,0.5,
parieto occipital fissure,L,2,2,1.0,1.0
frontal med orb,R,2,2,0.0,1.0
frontal medial cortex,L,2,2,1.0,1.0
frontal lobe,L,2,2,1.0,1.0
frontal inferior operculum,U,2,4,0.0,
middle frontal gyrusa,R,2,3,0.0,1.0
middle frontal gyrus ba 9 46,L,2,2,1.0,1.0
pips,L,2,4,1.0,1.0
piriform cortex,U,2,2,0.5,
dfc,U,2,4,0.25,
difg,U,2,4,0.75,
phc,L,2,4,1.0,1.0
pfm,U,2,2,0.5,
perigenual anterior cingulate cortex,U,2,2,0.5,
pcg,R,2,2,0.0,1.0
cma,U,2,3,0.6667,
cingulum post,L,2,3,1.0,1.0
posterior cerebellum,U,2,6,0.1667,
postcentral gyrus ba 1,R,2,2,0.0,1.0
postcentral gyrus ba 3,R,2,2,0.0,1.0
postcentral gyrus 3,U,2,2,1.0,
postcentral gyrus 40,U,2,2,0.0,
postcentral g,L,2,3,0.6667,0.6667
middle frontal gyrus 46,U,2,3,0.3333,
middle frontal gyrus 11,L,2,2,1.0,1.0
frontal operculum cortex,R,2,2,0.0,1.0
frontal medial cortex,R,2,2,0.0,1.0
frontal mid,U,2,2,0.5,
middle frontal cortex,L,2,8,1.0,1.0
corticospinal tract,U,2,2,0.5,
crus i,L,2,2,1.0,1.0
post hippocampus,L,2,3,1.0,1.0
post cingulate,L,2,2,1.0,1.0
post cingulate,U,2,7,0.7143,
post central,R,2,2,0.0,1.0
post central,U,2,2,0.5,
pole middle,U,2,5,0.2,
pole superior,U,2,8,0.75,
middle frontal gyrus 46,L,2,2,1.0,1.0
pmc,L,2,2,1.0,1.0
pmc,R,2,2,0.0,1.0
postcentral cortex,R,2,3,0.0,1.0
postcentral cortex,U,2,3,0.3333,
cuneus 17,R,2,2,0.0,1.0
cun,U,2,6,0.3333,
cst,U,2,3,1.0,
post mtg,L,2,2,1.0,1.0
posterior sts,R,2,4,0.0,1.0
posterior stg,L,2,2,1.0,1.0
posterior stg,U,2,2,1.0,
posterior parietal lobe,U,2,3,1.0,
posterior parietal,L,2,10,1.0,1.0
posterior parietal,R,2,3,0.0,1.0
posterior orbital gyrus,U,2,2,0.5,
posterior mtg,U,2,2,0.5,
middle cingulate gyrus 24,U,2,3,0.6667,
middle cingulum,L,2,2,1.0,1.0
middle cingulate,L,2,2,1.0,1.0
middle and superior frontal gyrus,R,2,3,0.0,1.0
middle and superior frontal gyrus,U,2,3,0.3333,
cing,U,2,2,0.0,
posterior superior parietal lobule,R,2,2,0.0,1.0
posterior superior temporal gyrus,L,2,2,1.0,1.0
cingulate gyrus ba 31,R,2,2,0.0,1.0
posterior inferior temporal gyrus,U,2,4,0.25,
posterior fusiform gyrus,L,2,2,1.0,1.0
posterior cingulate cortex 31,U,2,3,0.6667,
posterior cingulate ba 30,U,2,2,0.5,
cortex,U,2,5,0.6,
frontal sup orb,R,2,2,0.0,1.0
frontal sup,U,2,2,1.0,
posterior insula ba 13,U,2,3,0.6667,
cingulum,R,2,2,0.5,0.5
cingulate gyrus ba 32,R,2,2,0.0,1.0
cingulate motor area,R,2,2,0.0,1.0
cingulate motor area,U,2,2,0.5,
cingulate gyrus ba 23,L,2,2,0.5,0.5
cingulate gyrus ba 23,U,2,2,0.5,
cingulate gyrus ba 24,U,2,2,0.5,
mid frontal gyr,U,2,5,0.0,
mid frontal gyrus,L,2,2,1.0,1.0
mid front,U,2,5,0.8,
precentral gyrus ba 4,R,2,3,0.0,1.0
cerebellum crus 1,U,2,6,0.5,
cerebellum crus 2,U,2,6,0.8333,
cerebellum crus i,U,2,4,0.75,
cerebellum 3,U,2,2,0.5,
posterior superior temporal sulcus,L,2,2,1.0,1.0
midcingulate,U,2,2,1.0,
frontopolar cortex,R,2,2,0.5,0.5
frontal superior medial gyrus,R,2,3,0.0,1.0
mid temporal gyrus,L,2,4,1.0,1.0
mid temp,L,2,6,1.0,1.0
mid temp,R,2,2,0.0,1.0
mid occipital,U,2,2,1.0,
cerebellum lobule viib,U,2,2,0.5,
cerebellum posterior lobe,R,2,2,0.5,0.5
cerebellum lobule vi,U,2,2,0.5,
pre supplemental motor area,U,2,2,0.5,
pre supplementary motor area,L,2,2,1.0,1.0
pre sma,B,2,3,0.3333,
ppa,U,2,2,1.0,
posterior thalamus,U,2,3,0.6667,
posterior middle frontal gyrus,R,2,2,0.0,1.0
posterior middle temporal gyrus,R,2,6,0.0,1.0
posterior medial frontal gyrus,R,2,2,0.0,1.0
posterior medial frontal gyrus,U,2,2,0.0,
posterior intraparietal sulcus ba 7,L,2,3,1.0,1.0
posterior intraparietal sulcus ba 7,R,2,3,0.3333,0.6667
posterior limb,L,2,2,1.0,1.0
precental gyrus,L,2,2,1.0,1.0
central operculum,L,2,2,1.0,1.0
central operculum,R,2,2,0.0,1.0
caudate tail,U,2,2,0.5,
precg,R,2,2,0.0,1.0
