lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
inferior frontal gyrus ba 47,Inferior frontal gyrus (BA 47),13,15.0,5,13.62,14,0.2408,3,MFG,Middle Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.0926,0.1333,0.01852,Inferior frontal gyrus (BA 47) | RH inferior frontal gyrus (BA 47) | L Inferior Frontal Gyrus (BA 47) | L inferior frontal gyrus (BA 47) | L inferior frontal gyrus (BA47) | L inferior frontal gyrus BA 47 | Left inferior frontal gyrus(BA 47) | R Inferior Frontal Gyrus (BA 47) | R inferior frontal gyrus (BA47) | R inferior frontal gyrus BA 47
inferior frontal gyrus ba 47,Inferior frontal gyrus (BA 47),13,15.0,5,13.62,14,0.2408,4,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.0556,0.0667,0.01852,Inferior frontal gyrus (BA 47) | RH inferior frontal gyrus (BA 47) | L Inferior Frontal Gyrus (BA 47) | L inferior frontal gyrus (BA 47) | L inferior frontal gyrus (BA47) | L inferior frontal gyrus BA 47 | Left inferior frontal gyrus(BA 47) | R Inferior Frontal Gyrus (BA 47) | R inferior frontal gyrus (BA47) | R inferior frontal gyrus BA 47
inferior frontal gyrus ba 47,Inferior frontal gyrus (BA 47),13,15.0,5,13.62,14,0.2408,5,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,1.0,1,0.0556,0.0667,0.01852,Inferior frontal gyrus (BA 47) | RH inferior frontal gyrus (BA 47) | L Inferior Frontal Gyrus (BA 47) | L inferior frontal gyrus (BA 47) | L inferior frontal gyrus (BA47) | L inferior frontal gyrus BA 47 | Left inferior frontal gyrus(BA 47) | R Inferior Frontal Gyrus (BA 47) | R inferior frontal gyrus (BA47) | R inferior frontal gyrus BA 47
inferior frontal gyrus ba 48,Left Inferior frontal gyrus (BA 48),1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left Inferior frontal gyrus (BA 48)
inferior frontal gyrus ba 6,Right Inferior Frontal Gyrus (BA6),1,1.0,1,22.91,19,0.1153,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Right Inferior Frontal Gyrus (BA6)
inferior frontal gyrus ba 9,Inferior frontal gyrus (BA 9),8,10.0,3,14.76,16,0.2502,1,PrG,Precentral Gyrus,Frontal Lobe,5.0,5.0,5,0.25,0.5,0.02273,Inferior frontal gyrus (BA 9) | L Inferior frontal gyrus (BA 9) | L inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA9) | R inferior frontal gyrus (BA 9) | R inferior frontal gyrus BA 9 | inferior frontal gyrus (BA9)
inferior frontal gyrus ba 9,Inferior frontal gyrus (BA 9),8,10.0,3,14.76,16,0.2502,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,3.0,3.0,4,0.1591,0.3,0.02273,Inferior frontal gyrus (BA 9) | L Inferior frontal gyrus (BA 9) | L inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA9) | R inferior frontal gyrus (BA 9) | R inferior frontal gyrus BA 9 | inferior frontal gyrus (BA9)
inferior frontal gyrus ba 9,Inferior frontal gyrus (BA 9),8,10.0,3,14.76,16,0.2502,3,MFG,Middle Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.1136,0.2,0.02273,Inferior frontal gyrus (BA 9) | L Inferior frontal gyrus (BA 9) | L inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA 9) | Left inferior frontal gyrus (BA9) | R inferior frontal gyrus (BA 9) | R inferior frontal gyrus BA 9 | inferior frontal gyrus (BA9)
inferior frontal gyrus ba 9 46,Bilateral inferior frontal gyrus (BA 9/46),1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Bilateral inferior frontal gyrus (BA 9/46)
inferior frontal gyrus extending in acc and others,Left inferior frontal gyrus extending in ACC and others,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left inferior frontal gyrus extending in ACC and others
