lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
a cerebellum anterior lobe,A R Cerebellum Anterior Lobe,1,1.0,1,22.91,19,0.1153,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,A R Cerebellum Anterior Lobe
a47,B A47,1,1.0,1,22.91,19,0.1153,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,B A47
acc 24,ACC (24),2,2.0,1,21.0,19,0.1787,1,CG,Cingulate Gyrus,Limbic Lobe,2.0,2.0,3,0.1786,1.0,0.03571,ACC (24) | ACC(24)
acc 32,ACC (32),2,2.0,2,22.13,19,0.1071,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1071,0.5,0.03571,ACC (32) | Left ACC (32)
acc 32,ACC (32),2,2.0,2,22.13,19,0.1071,2,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ACC (32) | Left ACC (32)
acc and medial frontal gyrus,ACC and medial frontal gyrus,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC and medial frontal gyrus
acc ba 32,L. ACC BA32,3,3.0,2,20.55,18,0.1668,1,SFG,Superior Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.1667,0.6667,0.03333,L. ACC BA32 | R. ACC (BA 32) | R. ACC BA32
acc ba 32,L. ACC BA32,3,3.0,2,20.55,18,0.1668,2,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,2,0.1,0.3333,0.03333,L. ACC BA32 | R. ACC (BA 32) | R. ACC BA32
acc d,ACC D,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC D
acc roi,ACC ROI,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC ROI
accb,ACCb,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCb
acce,ACCE,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCE
accg,ACCG,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCG
acch,ACCH,1,2.0,2,22.13,19,0.1071,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,2,0.1071,0.5,0.03571,ACCH
acch,ACCH,1,2.0,2,22.13,19,0.1071,2,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ACCH
accl,ACCL,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCL
accm,ACCM,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCM
acco,ACCO,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCO
accs,ACCs,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCs
accumb ncl,accumb.ncl.,1,1.0,1,22.91,19,0.1153,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,accumb.ncl.
acg,ACG,3,4.0,4,21.18,18,0.0939,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,2,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,3,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,4,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acs,ACS,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACS
adacc,adACC,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,adACC
ag ba 39,AG (BA 39),2,2.0,1,21.0,19,0.1787,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,3,0.1786,1.0,0.03571,AG (BA 39) | R AG (BA 39)
ahc,aHC,1,1.0,1,22.91,19,0.1153,1,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,aHC
aib,Right AIb,1,1.0,1,22.91,19,0.1153,1,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Right AIb
aic,L AIC,4,6.0,3,18.0,17,0.1943,1,INS,Insular Gyrus,Insular Lobe,3.0,3.0,3,0.1944,0.5,0.02778,L AIC | AIC | Left AIC | R AIC
aic,L AIC,4,6.0,3,18.0,17,0.1943,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.1389,0.3333,0.02778,L AIC | AIC | Left AIC | R AIC
aic,L AIC,4,6.0,3,18.0,17,0.1943,3,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.0833,0.1667,0.02778,L AIC | AIC | Left AIC | R AIC
aifg,aIFG,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,aIFG
aifs,aIFS,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,aIFS
ains,aINS,5,8.0,2,14.72,16,0.275,1,INS,Insular Gyrus,Insular Lobe,5.0,5.0,8,0.275,0.625,0.025,aINS | L aINS | Left aINS | R aINS | Right aINS
ains,aINS,5,8.0,2,14.72,16,0.275,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,3.0,3.0,6,0.175,0.375,0.025,aINS | L aINS | Left aINS | R aINS | Right aINS
ains d,aINS-d,1,1.0,1,22.91,19,0.1153,1,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.1154,1.0,0.03846,aINS-d
ains v,aINS-v,1,1.0,1,22.91,19,0.1153,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,aINS-v
aip,Left AIP,2,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Left AIP | Right AIP
aip 40,AIP (40),1,1.0,1,22.91,19,0.1153,1,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,AIP (40)
aipl,aIPL,2,3.0,2,20.55,18,0.1668,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,2,0.1667,0.6667,0.03333,aIPL | aIPL (SMG)
aipl,aIPL,2,3.0,2,20.55,18,0.1668,2,PoG,Postcentral Gyrus,Parietal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,aIPL | aIPL (SMG)
aips,aIPS,3,8.0,3,15.98,16,0.225,1,IPL,Inferior Parietal Lobule,Parietal Lobe,4.0,4.0,8,0.225,0.5,0.025,aIPS | L aIPS | Right aIPS
aips,aIPS,3,8.0,3,15.98,16,0.225,2,SPL,Superior Parietal Lobule,Parietal Lobe,3.0,3.0,3,0.175,0.375,0.025,aIPS | L aIPS | Right aIPS
aips,aIPS,3,8.0,3,15.98,16,0.225,3,PoG,Postcentral Gyrus,Parietal Lobe,1.0,1.0,1,0.075,0.125,0.025,aIPS | L aIPS | Right aIPS
ait,R.aIT,1,1.0,1,22.91,19,0.1153,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R.aIT
aloc,aLOC left,1,2.0,2,22.13,19,0.1071,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,2,0.1071,0.5,0.03571,aLOC left
aloc,aLOC left,1,2.0,2,22.13,19,0.1071,2,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,aLOC left
alpfc,aLPFC,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,aLPFC
also included cuneus,Also included: Cuneus,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Also included: Cuneus
also included middle occipital gyrus,Also Included: Left Middle Occipital Gyrus,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Also Included: Left Middle Occipital Gyrus
also included middle occipital lobe,Also Included: Right Middle Occipital Lobe,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Also Included: Right Middle Occipital Lobe
also included ventromedial prefrontal cortex,Also included: Ventromedial Prefrontal Cortex,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Also included: Ventromedial Prefrontal Cortex
amcc,aMCC,3,4.0,2,18.85,18,0.219,1,CG,Cingulate Gyrus,Limbic Lobe,3.0,3.0,3,0.2188,0.75,0.03125,aMCC | Left aMCC | Right aMCC
amcc,aMCC,3,4.0,2,18.85,18,0.219,2,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,3,0.0938,0.25,0.03125,aMCC | Left aMCC | Right aMCC
amfg,aMFG,3,3.0,1,19.05,18,0.2335,1,MFG,Middle Frontal Gyrus,Frontal Lobe,3.0,3.0,4,0.2333,1.0,0.03333,aMFG | L aMFG | R aMFG
amg,AMG,1,1.0,1,22.91,19,0.1153,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,AMG
ampfc,amPFC,1,2.0,2,22.13,19,0.1071,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,3,0.1071,0.5,0.03571,amPFC
ampfc,amPFC,1,2.0,2,22.13,19,0.1071,2,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1071,0.5,0.03571,amPFC
amydala,amydala,1,1.0,1,22.91,19,0.1153,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,amydala
amyg,L AMYG,3,3.0,3,21.57,18,0.1001,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,1,0.1,0.3333,0.03333,L AMYG | Left AMYG (Fat-Thin) | R AMYG
amyg,L AMYG,3,3.0,3,21.57,18,0.1001,2,Hipp,Hippocampus,Subcortical Nuclei,1.0,1.0,1,0.1,0.3333,0.03333,L AMYG | Left AMYG (Fat-Thin) | R AMYG
amyg,L AMYG,3,3.0,3,21.57,18,0.1001,3,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,L AMYG | Left AMYG (Fat-Thin) | R AMYG
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,1,Amyg,Amygdala,Subcortical Nuclei,127.0,127.0,186,0.4636,0.4829,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,2,Hipp,Hippocampus,Subcortical Nuclei,51.0,51.0,59,0.1873,0.1939,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,3,BG,Basal Ganglia,Subcortical Nuclei,45.0,45.0,61,0.1655,0.1711,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,4,OrG,Orbital Gyrus,Frontal Lobe,11.0,11.0,12,0.0418,0.0418,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,5,PhG,Parahippocampal Gyrus,Temporal Lobe,7.0,7.0,8,0.0273,0.0266,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,6,MFG,Middle Frontal Gyrus,Frontal Lobe,5.0,5.0,6,0.02,0.019,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,7,Tha,Thalamus,Subcortical Nuclei,5.0,5.0,6,0.02,0.019,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,8,CG,Cingulate Gyrus,Limbic Lobe,2.0,2.0,2,0.0091,0.0076,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,9,FuG,Fusiform Gyrus,Temporal Lobe,2.0,2.0,2,0.0091,0.0076,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,10,INS,Insular Gyrus,Insular Lobe,2.0,2.0,2,0.0091,0.0076,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,11,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,2.0,2.0,2,0.0091,0.0076,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,12,STG,Superior Temporal Gyrus,Temporal Lobe,2.0,2.0,2,0.0091,0.0076,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,13,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.0055,0.0038,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala,Amygdala,46,263.0,14,5.7,3,0.4636,14,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0055,0.0038,0.00182,Amygdala | Right amygdala | Left amygdala | amygdala | L Amygdala | L amygdala | R Amygdala | R amygdala | Left Amygdala | Right Amygdala
amygdala parahippocampal gyrus,R amygdala–parahippocampal gyrus,1,2.0,2,22.13,19,0.1071,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1071,0.5,0.03571,R amygdala–parahippocampal gyrus
amygdala parahippocampal gyrus,R amygdala–parahippocampal gyrus,1,2.0,2,22.13,19,0.1071,2,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.1071,0.5,0.03571,R amygdala–parahippocampal gyrus
amygdala roi,Amygdala ROI,1,1.0,1,22.91,19,0.1153,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,Amygdala ROI
amygdalaa,Amygdalaa,3,5.0,4,20.06,18,0.1471,1,Amyg,Amygdala,Subcortical Nuclei,2.0,2.0,2,0.1471,0.4,0.02941,Amygdalaa | L Amygdalaa | R amygdalaa
amygdalaa,Amygdalaa,3,5.0,4,20.06,18,0.1471,2,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.0882,0.2,0.02941,Amygdalaa | L Amygdalaa | R amygdalaa
amygdalaa,Amygdalaa,3,5.0,4,20.06,18,0.1471,3,Hipp,Hippocampus,Subcortical Nuclei,1.0,1.0,1,0.0882,0.2,0.02941,Amygdalaa | L Amygdalaa | R amygdalaa
amygdalaa,Amygdalaa,3,5.0,4,20.06,18,0.1471,4,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,1,0.0882,0.2,0.02941,Amygdalaa | L Amygdalaa | R amygdalaa
amygdalab,Amygdalab,1,1.0,1,22.91,19,0.1153,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,2,0.1154,1.0,0.03846,Amygdalab
amygdale,Left amygdale,1,1.0,1,22.91,19,0.1153,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,2,0.1154,1.0,0.03846,Left amygdale
amygdaloid body,Amygdaloid body(L),1,1.0,1,22.91,19,0.1153,1,Amyg,Amygdala,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,Amygdaloid body(L)
amygdaloid complex,AMY,11,10.0,5,16.76,16,0.2046,1,Amyg,Amygdala,Subcortical Nuclei,4.0,4.0,16,0.2045,0.4,0.02273,AMY | Amy | Amy_L | Amy_R | L Amy | Left AMY | Left amygdaloid complex (Baso-lateral nuclei) | Left amygdaloid complex (Centro-mesial nuclei) | R Amy | Right AMY
amygdaloid complex,AMY,11,10.0,5,16.76,16,0.2046,2,BG,Basal Ganglia,Subcortical Nuclei,2.0,2.0,2,0.1136,0.2,0.02273,AMY | Amy | Amy_L | Amy_R | L Amy | Left AMY | Left amygdaloid complex (Baso-lateral nuclei) | Left amygdaloid complex (Centro-mesial nuclei) | R Amy | Right AMY
amygdaloid complex,AMY,11,10.0,5,16.76,16,0.2046,3,Hipp,Hippocampus,Subcortical Nuclei,2.0,2.0,2,0.1136,0.2,0.02273,AMY | Amy | Amy_L | Amy_R | L Amy | Left AMY | Left amygdaloid complex (Baso-lateral nuclei) | Left amygdaloid complex (Centro-mesial nuclei) | R Amy | Right AMY
amygdaloid complex,AMY,11,10.0,5,16.76,16,0.2046,4,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.0682,0.1,0.02273,AMY | Amy | Amy_L | Amy_R | L Amy | Left AMY | Left amygdaloid complex (Baso-lateral nuclei) | Left amygdaloid complex (Centro-mesial nuclei) | R Amy | Right AMY
amygdaloid complex,AMY,11,10.0,5,16.76,16,0.2046,5,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,1.0,1,0.0682,0.1,0.02273,AMY | Amy | Amy_L | Amy_R | L Amy | Left AMY | Left amygdaloid complex (Baso-lateral nuclei) | Left amygdaloid complex (Centro-mesial nuclei) | R Amy | Right AMY
and 10,9 and 10,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,9 and 10
and inferior occipital gyrus,L & R inferior occipital gyrus,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L & R inferior occipital gyrus
and middle temporal gyrus ba 21,and right middle temporal gyrus (BA21),1,1.0,1,22.91,19,0.1153,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,and right middle temporal gyrus (BA21)
and precuneus,and R precuneus,2,2.0,2,22.13,19,0.1071,1,Pcun,Precuneus,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,and R precuneus | and precuneus
and precuneus,and R precuneus,2,2.0,2,22.13,19,0.1071,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,and R precuneus | and precuneus
and supplementary motor area,L & R supplementary motor area,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L & R supplementary motor area
and supramarginal gyrus,and left supramarginal gyrus,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,and left supramarginal gyrus
and thalamus,L & R thalamus (anterior nucleus),1,1.0,1,22.91,19,0.1153,1,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,L & R thalamus (anterior nucleus)
and v1,L & R V1,1,1.0,1,22.91,19,0.1153,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L & R V1
and wm within stg,and WM within left STG,1,1.0,1,22.91,19,0.1153,1,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,and WM within left STG
ang gyr,Ang. Gyr,3,2.0,1,21.0,19,0.1787,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,11,0.1786,1.0,0.03571,Ang. Gyr | Ang. Gyr. | Ang. gyr.
angluar gyrus,Angluar gyrus,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Angluar gyrus
angular,Angular,16,37.0,5,5.68,5,0.6225,1,IPL,Inferior Parietal Lobule,Parietal Lobe,30.0,30.0,37,0.6224,0.8108,0.0102,Angular | Angular R | Angular_L | L angular | Left angular | Angular_R | R Angular | R angular | (4) Angular | Angular L
angular,Angular,16,37.0,5,5.68,5,0.6225,2,SPL,Superior Parietal Lobule,Parietal Lobe,3.0,3.0,3,0.0714,0.0811,0.0102,Angular | Angular R | Angular_L | L angular | Left angular | Angular_R | R Angular | R angular | (4) Angular | Angular L
angular,Angular,16,37.0,5,5.68,5,0.6225,3,LOcC,lateral Occipital Cortex,Occipital Lobe,2.0,2.0,2,0.051,0.0541,0.0102,Angular | Angular R | Angular_L | L angular | Left angular | Angular_R | R Angular | R angular | (4) Angular | Angular L
angular,Angular,16,37.0,5,5.68,5,0.6225,4,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0306,0.027,0.0102,Angular | Angular R | Angular_L | L angular | Left angular | Angular_R | R Angular | R angular | (4) Angular | Angular L
angular,Angular,16,37.0,5,5.68,5,0.6225,5,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0306,0.027,0.0102,Angular | Angular R | Angular_L | L angular | Left angular | Angular_R | R Angular | R angular | (4) Angular | Angular L
angular and inferior parietal,Angular & inferior parietal,1,1.0,1,22.91,19,0.1153,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Angular & inferior parietal
angular cortex,Angular cortex,3,2.0,1,21.0,19,0.1787,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,5,0.1786,1.0,0.03571,Angular cortex | L Angular cortex | R Angular cortex
angular g,Angular G,12,10.0,2,12.82,16,0.3411,1,IPL,Inferior Parietal Lobule,Parietal Lobe,7.0,7.0,10,0.3409,0.7,0.02273,Angular G | Angular G(L) | Angular G(R) | Angular G. | Angular g. | L angular G (area PGp) | L angular g (angular ROI) | R angular G (area PGp) | R angular g | R angular g.
angular g,Angular G,12,10.0,2,12.82,16,0.3411,2,MTG,Middle Temporal Gyrus,Temporal Lobe,3.0,3.0,4,0.1591,0.3,0.02273,Angular G | Angular G(L) | Angular G(R) | Angular G. | Angular g. | L angular G (area PGp) | L angular g (angular ROI) | R angular G (area PGp) | R angular g | R angular g.
angular g 1,L angular g (1),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L angular g (1)
angular g 2,L angular g (2),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L angular g (2)
angular gy,Angular Gy.,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,3,0.1154,1.0,0.03846,Angular Gy.
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,1,IPL,Inferior Parietal Lobule,Parietal Lobe,194.0,194.0,325,0.734,0.7668,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,2,MTG,Middle Temporal Gyrus,Temporal Lobe,20.0,20.0,23,0.0774,0.0791,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,3,SPL,Superior Parietal Lobule,Parietal Lobe,12.0,12.0,13,0.0472,0.0474,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,4,LOcC,lateral Occipital Cortex,Occipital Lobe,9.0,9.0,13,0.0358,0.0356,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,5,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,7.0,7.0,10,0.0283,0.0277,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,6,MFG,Middle Frontal Gyrus,Frontal Lobe,4.0,4.0,4,0.017,0.0158,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
angular gyrus,Angular gyrus,58,253.0,13,3.31,2,0.7336,7,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.0057,0.004,0.00189,Angular gyrus | Angular Gyrus | Left angular gyrus | Right angular gyrus | R angular gyrus | L angular gyrus | R Angular gyrus | L Angular gyrus | L Angular Gyrus | Left Angular Gyrus
