lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_7,A32sg,subgenual area 32,187,188,1.0,1.0,2,0.3333,1.0,0.11111
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,SFG,Superior Frontal Gyrus,20.0,5,7,5.63,4,0.234,1,SFG_L(R)_7_7,A10m,medial area 10,13,14,5.0,5.0,10,0.234,0.25,0.02128
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,SFG,Superior Frontal Gyrus,20.0,5,7,5.63,4,0.234,2,SFG_L(R)_7_6,A9m,medial area 9,11,12,5.0,5.0,5,0.234,0.25,0.02128
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,SFG,Superior Frontal Gyrus,20.0,5,7,5.63,4,0.234,3,SFG_L(R)_7_3,A9l,lateral area 9,5,6,4.0,4.0,5,0.1915,0.2,0.02128
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,SFG,Superior Frontal Gyrus,20.0,5,7,5.63,4,0.234,4,SFG_L(R)_7_2,A8dl,dorsolateral area 8,3,4,3.0,3.0,4,0.1489,0.15,0.02128
dorsomedial prefrontal cortex,Dorsomedial prefrontal cortex,11,SFG,Superior Frontal Gyrus,20.0,5,7,5.63,4,0.234,5,SFG_L(R)_7_1,A8m,medial area 8,1,2,3.0,3.0,3,0.1489,0.15,0.02128
dorsomedial prefrontal cortex ba 8,Dorsomedial prefrontal cortex (BA 8),1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_3,A9l,lateral area 9,5,6,1.0,1.0,1,0.3333,1.0,0.11111
dorsomedial prefrontal cortex ba 9,Dorsomedial prefrontal cortex (BA 9)**,2,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,4,0.3333,1.0,0.11111
dorsomedial prefrontal gyrus,L dorsomedial prefrontal gyrus,1,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_5,dCa,dorsal caudate,227,228,1.0,1.0,1,0.375,1.0,0.125
dorsomedial thalamus,Dorsomedial thalamus,2,Tha,Thalamus,4.0,3,8,6.41,5,0.3125,1,Tha_L(R)_8_1,mPFtha,medial pre-frontal thalamus,231,232,2.0,2.0,4,0.3125,0.5,0.0625
dorsomedial thalamus,Dorsomedial thalamus,2,Tha,Thalamus,4.0,3,8,6.41,5,0.3125,2,Tha_L(R)_8_7,cTtha,caudal temporal thalamus,243,244,1.0,1.0,2,0.1875,0.25,0.0625
dorsomedial thalamus,Dorsomedial thalamus,2,Tha,Thalamus,4.0,3,8,6.41,5,0.3125,3,Tha_L(R)_8_6,Otha,occipital thalamus,241,242,1.0,1.0,1,0.1875,0.25,0.0625
dpcc,L dPCC,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
dpcc ba 23,dPCC (BA23),1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_4,A23v,ventral area 23,181,182,1.0,1.0,1,0.3333,1.0,0.11111
dpcc ba 23,dPCC (BA23),1,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,197,198,1.0,1.0,5,0.4286,1.0,0.14286
dpins,Right dpINS,1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_1,G,hypergranular insula,163,164,1.0,1.0,1,0.375,1.0,0.125
dpm,dPM,1,PrG,Precentral Gyrus,1.0,1,6,5.3,5,0.375,1,PrG_L(R)_6_2,A6cdl,caudal dorsolateral area 6,55,56,1.0,1.0,1,0.375,1.0,0.125
dpmc,dPMC,1,MFG,Middle Frontal Gyrus,2.0,1,7,5.29,5,0.4545,1,MFG_L(R)_7_6,A6vl,ventrolateral area 6,25,26,2.0,2.0,4,0.4545,1.0,0.09091
dpmc,dPMC,1,PrG,Precentral Gyrus,4.0,3,6,4.92,4,0.3571,1,PrG_L(R)_6_2,A6cdl,caudal dorsolateral area 6,55,56,2.0,2.0,3,0.3571,0.5,0.07143
dpmc,dPMC,1,PrG,Precentral Gyrus,4.0,3,6,4.92,4,0.3571,2,PrG_L(R)_6_3,A4ul,area 4(upper limb region),57,58,1.0,1.0,2,0.2143,0.25,0.07143
dpmc,dPMC,1,PrG,Precentral Gyrus,4.0,3,6,4.92,4,0.3571,3,PrG_L(R)_6_4,A4t,area 4(trunk region),59,60,1.0,1.0,1,0.2143,0.25,0.07143
