lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
fef,FEF,5,SFG,Superior Frontal Gyrus,5.0,3,7,5.18,4,0.4118,1,SFG_L(R)_7_4,A6dl,dorsolateral area 6,7,8,3.0,3.0,3,0.4118,0.6,0.05882
fef,FEF,5,SFG,Superior Frontal Gyrus,5.0,3,7,5.18,4,0.4118,2,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,3,0.1765,0.2,0.05882
fef,FEF,5,SFG,Superior Frontal Gyrus,5.0,3,7,5.18,4,0.4118,3,SFG_L(R)_7_5,A6m,medial area 6,9,10,1.0,1.0,1,0.1765,0.2,0.05882
fef 8,FEF(8),1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,1,0.3333,1.0,0.11111
fef ba 9,R. FEF BA9,1,PrG,Precentral Gyrus,1.0,1,6,5.3,5,0.375,1,PrG_L(R)_6_6,A6cvl,caudal ventrolateral area 6,63,64,1.0,1.0,1,0.375,1.0,0.125
fef lat,Left FEF lat,1,MFG,Middle Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,MFG_L(R)_7_2,IFJ,inferior frontal junction,17,18,1.0,1.0,1,0.3333,1.0,0.11111
fef left2,FEF left2,1,PrG,Precentral Gyrus,1.0,1,6,5.3,5,0.375,1,PrG_L(R)_6_6,A6cvl,caudal ventrolateral area 6,63,64,1.0,1.0,1,0.375,1.0,0.125
fef sphere,FEF_L_sphere,2,MFG,Middle Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,MFG_L(R)_7_6,A6vl,ventrolateral area 6,25,26,1.0,1.0,1,0.3333,1.0,0.11111
fef sphere,FEF_L_sphere,2,PrG,Precentral Gyrus,1.0,1,6,5.3,5,0.375,1,PrG_L(R)_6_2,A6cdl,caudal dorsolateral area 6,55,56,1.0,1.0,1,0.375,1.0,0.125
fefa,Left FEFa,2,PrG,Precentral Gyrus,1.0,1,6,5.3,5,0.375,1,PrG_L(R)_6_2,A6cdl,caudal dorsolateral area 6,55,56,1.0,1.0,1,0.375,1.0,0.125
fefa,Left FEFa,2,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_4,A6dl,dorsolateral area 6,7,8,1.0,1.0,1,0.3333,1.0,0.11111
