structure_name,species,source_atlas
Submedius thalamic nucleus,Rat,WaxholmSpace_v4
Subparafascicular nucleus,Rat,WaxholmSpace_v4
Substantia nigra (compact part),Rat,Leergaard2023_WHS
Substantia nigra (lateral part),Rat,Leergaard2023_WHS
Substantia nigra (reticular part),Rat,Leergaard2023_WHS
"Substantia nigra, compact part",Rat,WaxholmSpace_v4
"Substantia nigra, lateral part",Rat,WaxholmSpace_v4
"Substantia nigra, reticular part",Rat,WaxholmSpace_v4
Subthalamic nucleus,Rat,WaxholmSpace_v4
Superficial gray layer of the superior colliculus,Rat,WaxholmSpace_v4
Superior cerebellar peduncle and prerubral field,Rat,WaxholmSpace_v4
Superior paraolivary nucleus,Rat,WaxholmSpace_v4
Superior periolivary region,Rat,WaxholmSpace_v4
Suprageniculate nucleus,Rat,Leergaard2023_WHS
Supraoptic decussation,Rat,WaxholmSpace_v4
Temporal association cortex,Rat,WaxholmSpace_v4
Transverse fibers of the pons,Rat,WaxholmSpace_v4
Trapezoid body,Rat,WaxholmSpace_v4
Ventral anterior thalamic nucleus,Rat,WaxholmSpace_v4
"Ventral cochlear nucleus, anterior part",Rat,WaxholmSpace_v4
"Ventral cochlear nucleus, cap area",Rat,WaxholmSpace_v4
"Ventral cochlear nucleus, granule cell layer",Rat,WaxholmSpace_v4
"Ventral cochlear nucleus, posterior part",Rat,WaxholmSpace_v4
Ventral hippocampal commissure,Rat,WaxholmSpace_v4
Ventral orbital area,Rat,WaxholmSpace_v4
Ventral pallidum,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Ventral periolivary nuclei,Rat,WaxholmSpace_v4
"Ventral posterior nucleus of the thalamus, parvicellular part",Rat,WaxholmSpace_v4
Ventral posterolateral thalamic nucleus,Rat,WaxholmSpace_v4
Ventral posteromedial thalamic nucleus,Rat,WaxholmSpace_v4
Ventral striatal region (unspecified),Rat,Leergaard2023_WHS
"Ventral striatal region, unspecified",Rat,WaxholmSpace_v4
Ventral tegmental area,Rat,Leergaard2023_WHS | WaxholmSpace_v4
"Ventricular system, unspecified",Rat,WaxholmSpace_v4
Ventrolateral orbital area,Rat,WaxholmSpace_v4
Ventrolateral thalamic nucleus,Rat,WaxholmSpace_v4
Ventromedial thalamic nucleus,Rat,WaxholmSpace_v4
Vestibular apparatus,Rat,WaxholmSpace_v4
Vestibular nerve,Rat,WaxholmSpace_v4
Xiphoid thalamic nucleus,Rat,WaxholmSpace_v4
Zona incerta (caudal part),Rat,Leergaard2023_WHS
Zona incerta (dorsal part),Rat,Leergaard2023_WHS
Zona incerta (rostral part),Rat,Leergaard2023_WHS
Zona incerta (ventral part),Rat,Leergaard2023_WHS
"Zona incerta, A11 dopamine cells",Rat,WaxholmSpace_v4
"Zona incerta, A13 dopamine cells",Rat,WaxholmSpace_v4
"Zona incerta, caudal part",Rat,WaxholmSpace_v4
"Zona incerta, dorsal part",Rat,WaxholmSpace_v4
"Zona incerta, rostral part",Rat,WaxholmSpace_v4
"Zona incerta, ventral part",Rat,WaxholmSpace_v4
